target,probe,fact,question,text_sentences,prior_knowledge,question_explanation,inference_explanation,answer
 structural regularity,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors report robustness to different annotators, exemplar orders, and varying exemplar counts; the prompt characteristic that most likely explains why chain-of-thought exemplars are less sensitive to exemplar permutation and count is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the authors report robustness to different annotators, exemplar orders, and varying exemplar counts; the prompt characteristic that most likely explains why chain-of-thought exemplars are less sensitive to exemplar permutation and count is structural regularity","The authors report robustness to different annotators, exemplar orders, and varying exemplar counts. Which prompt characteristic most likely explains why chain-of-thought exemplars are less sensitive to exemplar permutation and count?","['sensitivity to exemplars is a key consideration of prompting approaches---for instance, varying the permutation of few-shot exemplars can cause the accuracy of GPT-3 on SST-2 to range from near chance (54.3\\%) to near state of the art (93.4\\%) \\citep{zhao2021calibrate}.', 'In this final subsection, we evaluate robustness to chains of thought written by different annotators.', 'Although there is variance among different chain of thought annotations, as would be expected when using exemplar-based prompting \\citep{le-scao-rush-2021-many,reynolds2021prompt,zhao2021calibrate}, all sets of chain of thought prompts outperform the standard baseline by a large margin.', 'In addition to robustness to annotators, independently-written chains of thought, different exemplars, and various language models, we also find that chain-of-thought prompting for arithmetic reasoning is robust to different exemplar orders and varying numbers of exemplars (see \\cref{subsec:faq-prompt-engineering}).']",Understanding that prompts with a consistent structural template reduce sensitivity to surface variations in examples (structural regularity or template-based prompting).,Why do CoT prompts remain effective even when exemplar order or wording changes?,"Because different annotators' chains still share a common stepwise structure (procedural/structural regularity), the model can latch onto the consistent procedure rather than brittle surface cues, reducing sensitivity to order and count.",structural regularity
 memorization overfitting,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given the dataset construction for names, the type of overfitting least likely to explain model success on the last-letter task is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', given the dataset construction for names, the type of overfitting least likely to explain model success on the last-letter task is memorization overfitting","Given the dataset construction for names, which type of overfitting is least likely to explain model success on the last-letter task?","['We generate full names by randomly concatenating names from the top one-thousand first and last names from name census data ({\\small{\\url{https://namecensus.com/}}}).', 'As the construction of these symbolic reasoning tasks is well-defined, for each task we consider an \\textit{in-domain} test set for which examples had the same number of steps as the training/few-shot exemplars, as well as an \\textit{out-of-domain} (OOD) test set, for which evaluation examples had more steps than those in the exemplars.']","Understanding of memorization vs. algorithmic generalization: if inputs are randomly composed from many combinations, memorizing all possible inputs is infeasible, so success likely comes from learning a procedure rather than memorization.",Which common model failure mode (overfitting type) is unlikely to account for good performance given random concatenation of many names?,"Because the dataset samples many random combinations of first/last names from 1,000 options, exact memorization of all possible strings is implausible; therefore memorization is the least likely explanation.",memorization
 Rationale supervision,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', to train a model to generate chain-of-thought outputs under supervised finetuning, the specific kind of labeled signal that must be added to standard input-output pairs is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', to train a model to generate chain-of-thought outputs under supervised finetuning, the specific kind of labeled signal that must be added to standard input-output pairs is Rationale supervision",What specific kind of labeled signal must be added to standard input–output pairs to train a model to generate chain-of-thought outputs under supervised finetuning?,"['\\cite{ling-etal-2017-program} pioneer the idea of using natural language rationales to solve math word problems through a series of intermediate steps.', '\\citet{cobbe2021training} extend \\citet{ling-etal-2017-program} by creating a larger dataset and using it to finetune a pretrained language model rather than training a model from scratch.', 'Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.']","Familiarity with supervised learning: to produce a new type of output, the training data must contain examples of that output (i.e., target rationales); terminology used for such additional supervision can be 'rationale supervision' or similar.",The question asks what extra label you must collect and include in the dataset so the model can be trained to output step-by-step rationales.,"To train outputs that are chain-of-thoughts, each training example must include the corresponding rationale as a target; this kind of signal is commonly referred to as rationale supervision.",Rationale supervision
 rationale supervision,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the supervised training approach that most directly reproduces the benefits of manual few-shot chains-of-thought without requiring few-shot exemplars at inference time is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the supervised training approach that most directly reproduces the benefits of manual few-shot chains-of-thought without requiring few-shot exemplars at inference time is rationale supervision",Which supervised training approach would most directly reproduce the manual few-shot chains-of-thought benefits without relying on few-shot exemplars at inference time?,"['We again manually compose chains of thought for the few-shot exemplars for each task, which are given in \\cref{fig:dataset-examples}.', 'We show that chain-of-thought prompting not only enables language models to perform symbolic reasoning tasks that are challenging in the standard prompting setting, but also facilitates length generalization to inference-time inputs longer than those seen in the few-shot exemplars.']",Familiarity with supervised fine-tuning approaches that train models to produce intermediate rationales or step-by-step explanations (often called rationale supervision or supervised chain-of-thought training).,"If you wanted the model to produce the same internal stepwise reasoning without giving exemplars at test time, what training technique would you use?","The few-shot chains are manually authored rationales. To internalize that behavior, one would supervise the model to output those rationales during training — i.e., apply rationale supervision (supervised training on intermediate steps).",rationale supervision
 intermediate supervision,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the formal machine-learning training technique that most closely corresponds to chain-of-thought prompting, in which explicit intermediate steps are provided as targets to guide learning and improve generalization, is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the formal machine-learning training technique that most closely corresponds to chain-of-thought prompting, in which explicit intermediate steps are provided as targets to guide learning and improve generalization, is intermediate supervision",Which formal machine-learning training technique most closely corresponds to chain-of-thought prompting providing explicit intermediate steps as targets to guide learning and improve generalization?,"['We have explored chain-of-thought prompting as a simple mechanism for eliciting multi-step reasoning behavior in large language models.', 'Finally, we showed that for symbolic reasoning, chain-of-thought prompting facilitates OOD generalization to longer sequence lengths (\\cref{sec:symbolic-reasoning}).']","Familiarity with supervised learning training strategies, especially the idea of supervising intermediate layers or intermediate labels (e.g., auxiliary/intermediate supervision) and how they affect generalization.",The question asks you to map the idea of giving a model explicit intermediate reasoning steps to a known ML training approach that uses intermediate targets to shape learning.,"Chain-of-thought supplies stepwise intermediate outputs that guide how the model computes its final answer; in ML this design corresponds to providing intermediate supervision signals during training, i.e., intermediate supervision.",intermediate supervision
 the algorithmic level,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', under Marr's three levels of analysis (computational, algorithmic/representational, implementational), chain-of-thought primarily provides insight into","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', under Marr's three levels of analysis (computational, algorithmic/representational, implementational), chain-of-thought primarily provides insight into the algorithmic level","Under Marr's three levels of analysis (computational, algorithmic/representational, implementational), which level does chain-of-thought primarily provide insight into?","[""Second, a chain of thought provides an interpretable window into the behavior of the model, suggesting how it might have arrived at a particular answer and providing opportunities to debug where the reasoning path went wrong (although fully characterizing a model's computations that support an answer remains an open question).""]","Familiarity with Marr's levels: computational (what/why), algorithmic/representational (how, steps and representations), and implementational (physical substrate).",Map chain-of-thought explanations (intermediate steps and reasoning) to one of Marr's analysis levels.,Chain-of-thought describes intermediate steps and representations—the algorithmic description of processing—rather than the abstract goal or the low-level implementation; hence it corresponds to the algorithmic level.,algorithmic level
 problem decomposition,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', in one concise phrase, the core computational strategy that chain-of-thought prompting implements to improve arithmetic and commonsense reasoning performance is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', in one concise phrase, the core computational strategy that chain-of-thought prompting implements to improve arithmetic and commonsense reasoning performance is problem decomposition","In one concise phrase, what core computational strategy does chain-of-thought prompting implement to improve arithmetic and commonsense reasoning performance?","['We have explored chain-of-thought prompting as a simple mechanism for eliciting multi-step reasoning behavior in large language models.', 'We first saw that chain-of-thought prompting improves performance by a large margin on arithmetic reasoning, yielding improvements that are much stronger than ablations and robust to different annotators, exemplars, and language models (\\cref{sec:arithmetic-reasoning}).']","Basic understanding of problem-solving strategies such as breaking tasks into subproblems or ordered steps (decomposition, stepwise reasoning).",The authors show that producing intermediate steps helps; name the general strategy that doing ordered intermediate steps corresponds to.,Providing multi-step reasoning equates to breaking a task into smaller subproblems that are solved sequentially; this is commonly called problem decomposition.,problem decomposition
 compute cost,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', training models to produce verbose chain-of-thought outputs leads to longer token sequences. The system-level computational resource, expressed as a concise two-word phrase, that is most increased during both training and inference is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', training models to produce verbose chain-of-thought outputs leads to longer token sequences. The system-level computational resource, expressed as a concise two-word phrase, that is most increased during both training and inference is compute cost","Training models to produce verbose chain-of-thought outputs increases which system-level computational resource (expressed as a concise two-word phrase) most during training and inference, due to longer token sequences?","['In the domain of program synthesis, \\cite{nye2021show} leverage language models to predict the final outputs of Python programs via first line-to-line predicting the intermediate computational results, and show that their step-by-step prediction method performs better than directly predicting the final outputs.', 'Whereas these approaches improve or augment the input part of the prompt (e.g., instructions that are prepended to inputs), our work takes the orthogonal direction of augmenting the outputs of language models with a chain of thought.']","Longer generated sequences increase the number of tokens processed by the model, which raises FLOPs/GPU time and related resource consumption; this is commonly referred to as compute cost or compute consumption.","The question asks which computational resource will rise the most when models must generate and process longer, multi-step outputs.","Because each additional token increases forward/backward computation, the dominant resource that increases is the compute cost (e.g., GPU-hours or FLOPs).",Compute cost
 pseudocode,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the manually composed few-shot chains of thought provide 'perfect solution structures' that the model repeats on test inputs. The programming artifact that best describes them is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the manually composed few-shot chains of thought provide 'perfect solution structures' that the model repeats on test inputs. The programming artifact that best describes them is pseudocode",Which programming artifact best describes the manually composed few-shot chains of thought that provide 'perfect solution structures' the model repeats on test inputs?,"[""Note that these in-domain evaluations are ``toy tasks'' in the sense that perfect solution structures are already provided by the chains of thought in the few-shot exemplars; all the model has to do is repeat the same steps with the new symbols in the test-time example."", 'We again manually compose chains of thought for the few-shot exemplars for each task, which are given in \\cref{fig:dataset-examples}.']","Understanding of programming artifacts such as pseudocode, program templates, and execution traces — i.e., high-level descriptions of steps to solve a problem without low-level implementation detail.","Given that the few-shot chains lay out the exact steps the model should repeat, which common programming concept are they most analogous to?","The chains provide a stepwise, human-readable procedure (not runnable code) that the model should follow; that corresponds closely to pseudocode, which is a language-agnostic algorithm sketch capturing the solution structure.",pseudocode
 majority vote,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', a simple aggregation strategy that reduces the impact of a single potentially incorrect chain-of-thought by sampling multiple reasoning paths and selecting the most frequent final answer is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', a simple aggregation strategy that reduces the impact of a single potentially incorrect chain-of-thought by sampling multiple reasoning paths and selecting the most frequent final answer is majority vote",Which simple aggregation strategy would reduce the impact of a single potentially incorrect chain-of-thought by sampling multiple reasoning paths and selecting the most frequent final answer?,"['\\orange{Third, there is no guarantee of correct reasoning paths, which can lead to both correct and incorrect answers; improving factual generations of language models is an open direction for future work \\citep[][{\\textit{inter alia}}]{rashkin2021measuring,ye2022unreliability,wiegreffe2021reframing}.}']","Knowledge of ensemble and aggregation techniques for noisy predictors, e.g., sampling multiple outputs and using a voting rule like majority voting to increase robustness.",The authors note single chains can be wrong; what's a simple method that combines multiple sampled chains to pick a robust final answer?,"Sampling multiple chains and picking the most common final answer is the classic majority-vote approach, which reduces sensitivity to individual incorrect samples.",majority vote
 a phase transition,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the term from statistical physics or complex systems that best captures the abrupt appearance of chain-of-thought capabilities as model scale crosses a threshold is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the term from statistical physics or complex systems that best captures the abrupt appearance of chain-of-thought capabilities as model scale crosses a threshold is a phase transition",What term from statistical physics or complex systems best captures the abrupt appearance of chain-of-thought capabilities as model scale crosses a threshold?,"['The emergence of chain-of-thought reasoning as a result of model scale has been a prevailing theme \\citep{wei2022emergent}.', 'For many reasoning tasks where standard prompting has a flat scaling curve, chain-of-thought prompting leads to dramatically increasing scaling curves.']","Familiarity with concepts describing sudden qualitative changes in system behavior (e.g., phase transitions, bifurcations, emergent phenomena) as a control parameter changes.",The authors describe abilities appearing suddenly with scale; name the term from physics/complex-systems for such abrupt behavioral changes.,A sudden qualitative shift in behavior when a parameter crosses a threshold is analogous to a phase transition; thus the abrupt emergence of CoT abilities maps to a phase transition.,phase transition
 symbolic-manipulation tasks,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', between symbolic-manipulation tasks and intuition-driven pattern-recognition tasks, the category expected to see the larger relative improvement from chain-of-thought prompting is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', between symbolic-manipulation tasks and intuition-driven pattern-recognition tasks, the category expected to see the larger relative improvement from chain-of-thought prompting is symbolic-manipulation tasks","Between symbolic-manipulation tasks and intuition-driven pattern-recognition tasks, which category should see the larger relative improvement from chain-of-thought prompting?","['Third, chain-of-thought reasoning can be used for tasks such as math word problems, commonsense reasoning, and symbolic manipulation, and is potentially applicable (at least in principle) to any task that humans can solve via language.', 'First, chain of thought, in principle, allows models to decompose multi-step problems into intermediate steps, which means that additional computation can be allocated to problems that require more reasoning steps.']","Understanding that symbolic-manipulation tasks are typically stepwise and compositional, while intuition-driven tasks rely on pattern recognition and holistic judgments.","Which type of task aligns more naturally with explicit step-by-step reasoning, and thus should benefit more from chain-of-thought?","Symbolic tasks naturally decompose into explicit intermediate steps, so chain-of-thought's stepwise process aligns with their structure and should yield larger improvements compared to intuition-driven tasks.",symbolic tasks
 interpretability,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', When models produce inspectable intermediate natural-language reasoning steps, the research subfield that becomes easier to study is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', When models produce inspectable intermediate natural-language reasoning steps, the research subfield that becomes easier to study is interpretability",Which research subfield becomes easier to study when models produce inspectable intermediate natural-language reasoning steps?,"['A \\emph{chain of thought} is a series of intermediate natural language reasoning steps that lead to the final output, and we refer to this approach as \\textit{chain-of-thought prompting}.', 'We present empirical evaluations on arithmetic, commonsense, and symbolic reasoning benchmarks, showing that chain-of-thought prompting outperforms standard prompting, sometimes to a striking degree.']",Familiarity with interpretability/explainability research: analyzing and understanding how models arrive at outputs.,"If a model emits its internal reasoning steps in readable form, what ML research area gains direct access to that information?","Inspectable intermediate steps provide concrete traces of the model's process, enabling methods and analyses from interpretability to probe and evaluate reasoning.",interpretability
 auxiliary loss,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if producing internal reasoning steps were incorporated into training as added terms in the loss function, the standard name for those added terms would be","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', if producing internal reasoning steps were incorporated into training as added terms in the loss function, the standard name for those added terms would be auxiliary loss","If producing internal reasoning steps were incorporated into training as added terms in the loss function, what is the standard name for those added loss terms?","['We have explored chain-of-thought prompting as a simple mechanism for eliciting multi-step reasoning behavior in large language models.', 'Second, although the cost of manually augmenting exemplars with chains of thought is minimal in the few-shot setting, such annotation costs could be prohibitive for finetuning (though this could potentially be surmounted with synthetic data generation, or zero-shot generalization).']",Familiarity with training objectives and common terminology like auxiliary losses/objectives that supervise extra targets during learning.,"If you train a model to match intermediate steps by adding terms to the loss, what are those added terms commonly called?","Supervising intermediate outputs typically appears in the objective as extra loss components; these are referred to as auxiliary losses (i.e., auxiliary loss terms).",auxiliary loss
 hallucination,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the concise technical term the authors use for the phenomenon where a model generates persuasive but incorrect chains-of-thought and final answers is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the concise technical term the authors use for the phenomenon where a model generates persuasive but incorrect chains-of-thought and final answers is hallucination","What concise technical term describes the phenomenon where a model generates persuasive but incorrect chains-of-thought and final answers, as the authors caution?","['\\orange{Third, there is no guarantee of correct reasoning paths, which can lead to both correct and incorrect answers; improving factual generations of language models is an open direction for future work \\citep[][{\\textit{inter alia}}]{rashkin2021measuring,ye2022unreliability,wiegreffe2021reframing}.}']","Understanding of common failure modes of generative language models, including the term used to describe confidently produced but false outputs.",The authors warn that chains-of-thought can be incorrect even when they look plausible; name the standard term for that problem.,The described behavior—plausible-looking but incorrect outputs—is the commonly used term 'hallucination' in the literature on generative models.,hallucination
 imitation learning,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the learning paradigm that best matches few-shot chain-of-thought prompting, where manually composed exemplars teach the model to produce reasoning chains, is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the learning paradigm that best matches few-shot chain-of-thought prompting, where manually composed exemplars teach the model to produce reasoning chains, is imitation learning","Which learning paradigm best matches few-shot chain-of-thought prompting, where manually composed exemplars teach the model to produce reasoning chains?","['For CSQA and StrategyQA, we randomly selected examples from the training set and manually composed chains of thought for them to use as few-shot exemplars.']","Understanding of imitation learning / learning from demonstrations, where agents learn behavior by observing example behaviors or demonstrations.",Identify the machine-learning paradigm that is most analogous to giving a model a few manually written reasoning examples to imitate.,"Providing manually composed exemplars is equivalent to giving demonstrations of the desired behavior; the model then mimics those demonstrations, which corresponds to imitation learning (learning from demonstrations).",imitation learning
 the divide-and-conquer paradigm,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the classical algorithmic paradigm that most closely describes chain-of-thought prompting's strategy of breaking complex problems into intermediate natural-language reasoning steps is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the classical algorithmic paradigm that most closely describes chain-of-thought prompting's strategy of breaking complex problems into intermediate natural-language reasoning steps is the divide-and-conquer paradigm",Which classical algorithmic paradigm most closely describes chain-of-thought prompting's strategy of breaking complex problems into intermediate natural-language reasoning steps?,"['Although chain of thought is particularly suitable for math word problems, the language-based nature of chain of thought actually makes it applicable to a broad class of commonsense reasoning problems, which involve reasoning about physical and human interactions under the presumption of general background knowledge.', '\\textbf{StrategyQA} \\citep{geva-etal-2021-aristotle} requires models to infer a multi-hop strategy to answer questions.']","Familiarity with classic algorithmic paradigms, especially divide-and-conquer (decomposing a problem into subproblems, solving them, and combining results).",Map the idea of writing step-by-step natural-language reasoning (chain-of-thought) to a well-known algorithm design pattern.,Chain-of-thought decomposes hard problems into intermediate steps that are solved sequentially or independently and then composed into a final answer. This strategy mirrors the divide-and-conquer paradigm where a problem is split into subproblems whose solutions are combined.,divide-and-conquer
 a motion planner,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', To ensure robot action sequences produced by chain-of-thought prompting are physically executable, the robotic subsystem that must be integrated with the reasoning module is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', To ensure robot action sequences produced by chain-of-thought prompting are physically executable, the robotic subsystem that must be integrated with the reasoning module is a motion planner","To ensure robot action sequences produced by chain-of-thought prompting are physically executable, which robotic subsystem must be integrated with the reasoning module?","['Finally, the \\textbf{SayCan} dataset \\citep{ahn2022can} involves mapping a natural language instruction to a sequence of robot actions from a discrete set.', 'For SayCan, we use six examples from the training set used in \\citet{ahn2022can} and also manually composed chains of thought.']",Basic robotics architecture: high-level action planning vs. low-level motion planning and control (motion planners convert discrete actions/intentions into feasible trajectories respecting dynamics and collisions).,"Which component turns high-level action sequences into feasible, physically executable motions?","Chain-of-thought can propose high-level action sequences but cannot ensure physical feasibility; a motion planner is required to translate those actions into safe, executable trajectories.",motion planner
 scale-dependent,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', A single-word descriptor that best captures how chain-of-thought prompting's effectiveness varies with model size is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', A single-word descriptor that best captures how chain-of-thought prompting's effectiveness varies with model size is scale-dependent",What single-word descriptor best captures how chain-of-thought prompting's effectiveness varies with model size?,"['For all tasks, scaling up model size improved the performance of standard prompting; chain-of-thought prompting led to further gains, with improvements appearing to be largest for PaLM 540B.']",Understanding of model scaling behavior (scaling laws) and that some model capabilities emerge or strengthen with larger parameter counts.,Give a concise descriptor for the relationship between model size and the benefit from chain-of-thought prompting.,"The text reports larger CoT improvements at larger model scales (largest at PaLM 540B), so the phenomenon depends on scale — i.e., it is scale-dependent.",scale-dependent
 suffix extraction,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', last-letter concatenation is harder than first-letter concatenation due to a specific token-level operation, namely","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', last-letter concatenation is harder than first-letter concatenation due to a specific token-level operation, namely suffix extraction",What specific token-level operation explains why last-letter concatenation is harder than first-letter concatenation?,"[""Last letter concatenation. This task asks the model to concatenate the last letters of words in a name (e.g., \\textit{``Amy Brown''} $\\rightarrow$ \\textit{``yn''})."", 'It is a more challenging version of first letter concatenation, which language models can already perform without chain of thought.\\footnote{We tested 10 common names using GPT-3 \\texttt{davinci} and it got all but one correct.}']",Basic string/token manipulation concepts: extracting a prefix (first character) is simpler than extracting a suffix (last character) when tokenization and variable-length tokens are involved.,What low-level string operation makes the last-letter task more difficult than taking the first letters?,"The last-letter task requires locating the end of each token and extracting that terminal character (a suffix), whereas first-letter extraction only requires reading the token start; suffix extraction is therefore the distinguishing and harder operation.",suffix extraction
 knowledge-intensive,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', chain-of-thought prompting showed minimal gains on CSQA compared to StrategyQA, likely because the dataset is more","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', chain-of-thought prompting showed minimal gains on CSQA compared to StrategyQA, likely because the dataset is more knowledge-intensive",Which dataset characteristic likely explains why chain-of-thought showed minimal gains on CSQA compared to StrategyQA?,"['The popular \\textbf{CSQA} \\citep{talmor-etal-2019-commonsenseqa} asks commonsense questions about the world involving complex semantics that often require prior knowledge.', 'These results demonstrate that chain-of-thought prompting can also improve performance on tasks requiring a range of commonsense reasoning abilities (though note that gain was minimal on CSQA).']",Distinguish between knowledge-intensive/fact-retrieval tasks and multi-step (multi-hop) reasoning tasks; know that different methods help each type.,Infer what property of CSQA makes chain-of-thought less helpful there than on StrategyQA.,"CSQA is described as often requiring prior factual knowledge; chain-of-thought primarily aids stepwise reasoning rather than providing missing facts, so a knowledge-intensive property explains the minimal gains.",knowledge-intensive
 stepwise,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', Among commonsense tasks that showed the largest chain-of-thought improvements, for example StrategyQA and Sports, the single-word trait that best characterizes them is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', Among commonsense tasks that showed the largest chain-of-thought improvements, for example StrategyQA and Sports, the single-word trait that best characterizes them is stepwise","Which single-word trait best characterizes commonsense tasks that showed the largest chain-of-thought improvements (for example, StrategyQA and Sports)?","['\\textbf{StrategyQA} \\citep{geva-etal-2021-aristotle} requires models to infer a multi-hop strategy to answer questions.', 'We choose two specialized evaluation sets from the BIG-bench effort \\citep{bigbench}: \\textbf{Date} Understanding, which involves inferring a date from a given context, and \\textbf{Sports} Understanding, which involves determining whether a sentence relating to sports is plausible or implausible.']",Knowing that tasks requiring step-by-step or multi-hop resolution of subproblems are well-suited to stepwise reasoning methods.,Pick one word that best describes the kind of task structure that benefits most from chain-of-thought prompting.,StrategyQA explicitly needs multi-hop (sequential) reasoning and sports plausibility judgments often require chaining background facts; tasks that benefit most therefore tend to require step-by-step (stepwise) reasoning.,stepwise
 phase transition,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the scaling onset described as ""only arises at the scale of $100\text{B}$ model parameters"" can be characterized as a","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', the scaling onset described as ""only arises at the scale of $100\text{B}$ model parameters"" can be characterized as a phase transition",How would you characterize the scaling onset described as 'only arises at the scale of 100B model parameters'?,"['And yet, small models still fail---the ability to perform abstract manipulations on unseen symbols for these three tasks only arises at the scale of 100B model parameters.']","Familiarity with emergent phenomena in deep learning and the vocabulary describing sudden qualitative changes in behavior (e.g., 'phase transition', 'emergent ability').",The authors report that a capability appears only once models hit ~100B parameters; what succinct term describes this kind of sudden-onset behavior as model scale increases?,"Saying a capability 'only arises at' a particular scale implies a non-gradual, threshold-like change in behavior rather than a smooth incremental improvement; in ML literature this is often called a phase transition or an emergent ability.",phase transition
 inductive bias,"In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', chain-of-thought prompting imposes a preference or computational constraint that helps models generalize out of distribution; the machine-learning concept that names this is","In the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', chain-of-thought prompting imposes a preference or computational constraint that helps models generalize out of distribution; the machine-learning concept that names this is inductive bias","Which machine-learning concept names the imposed preference or computational constraint that chain-of-thought prompting adds, helping models generalize out-of-distribution?","['Chain-of-thought prompting appears to expand the set of tasks that large language models can perform successfully---in other words, our work underscores that standard prompting only provides a lower bound on the capabilities of large language models.', 'Finally, we showed that for symbolic reasoning, chain-of-thought prompting facilitates OOD generalization to longer sequence lengths (\\cref{sec:symbolic-reasoning}).']","Understanding of inductive bias: how choices (architectural, data, or training procedures) bias a learner toward some functions and thus affect generalization, especially OOD.",The question asks you to name the ML idea that describes how adding structure (like CoT) nudges a model toward solutions that generalize.,"Chain-of-thought steers the model's computation toward structured, stepwise solutions; such an imposed preference is called an inductive bias.",inductive bias
 sequential inference,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when applying chain-of-thought prompting to a new domain such as legal reasoning, the domain property that would most indicate the method is likely to succeed is","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', when applying chain-of-thought prompting to a new domain such as legal reasoning, the domain property that would most indicate the method is likely to succeed is sequential inference","If you were to apply chain-of-thought prompting to a new domain such as legal reasoning, which domain property would most indicate the method is likely to succeed?","['Although chain of thought is particularly suitable for math word problems, the language-based nature of chain of thought actually makes it applicable to a broad class of commonsense reasoning problems, which involve reasoning about physical and human interactions under the presumption of general background knowledge.', '\\textbf{StrategyQA} \\citep{geva-etal-2021-aristotle} requires models to infer a multi-hop strategy to answer questions.']",Understanding that chain-of-thought helps with tasks that require composing multiple inferential steps expressed in language (sequential inference).,Name the domain-level property that predicts chain-of-thought will be effective when transferring to a domain like legal reasoning.,"Chain-of-thought is language-based and excels at multi-step reasoning; thus, domains where conclusions are reached via ordered inferential steps (sequential inference) will likely benefit.",sequential inference
 explanation faithfulness,"According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', to measure the correctness of a model's internal chain-of-thought steps independently of final-answer accuracy, researchers should add to benchmarks the concise evaluation metric called","According to the paper 'Chain-of-Thought Prompting Elicits Reasoning in Large Language Models', to measure the correctness of a model's internal chain-of-thought steps independently of final-answer accuracy, researchers should add to benchmarks the concise evaluation metric called explanation faithfulness",What concise evaluation metric name should researchers add to benchmarks to measure the correctness of the model's internal chain-of-thought steps independently of final-answer accuracy?,"['\\orange{Third, there is no guarantee of correct reasoning paths, which can lead to both correct and incorrect answers; improving factual generations of language models is an open direction for future work \\citep[][{\\textit{inter alia}}]{rashkin2021measuring,ye2022unreliability,wiegreffe2021reframing}.}']","Understanding of evaluation metrics for explanations and reasoning, e.g., terms like faithfulness, fidelity, and explanation accuracy used to judge internal reasoning traces.",The authors point out internal reasoning can be wrong even when the final answer is right; what metric name captures measuring reasoning correctness itself?,Measuring how well generated explanations/reasoning steps align with ground-truth steps is commonly called explanation faithfulness (or reasoning fidelity); explanation faithfulness names this metric focus.,explanation faithfulness
