document,row_1based,target,probe,fact
legal/Bruce_Cohen_v_Consilio_LLC,37,the specific section the employer allegedly violated.,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are authorized by","In the case ""Bruce Charles Cohen v. Consilio, LLC"", the court explained that an employee may recover civil penalties or damages under the MPWA only when those remedies are authorized by the specific section the employer allegedly violated."
legal/Bruce_Cohen_v_Consilio_LLC,53,"the payment of wages... as well as commissions, in addition to the right to be paid at certain times","In the case ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Minn. Stat. Ann. § 181.101(a) and Cohen’s claim under the Minnesota Payment of Wages Act, the opinion states that the section provides a substantive right for employees to","In the case ""Bruce Charles Cohen v. Consilio, LLC"", when discussing Minn. Stat. Ann. § 181.101(a) and Cohen’s claim under the Minnesota Payment of Wages Act, the opinion states that the section provides a substantive right for employees to the payment of wages... as well as commissions, in addition to the right to be paid at certain times.
"
legal/Bruce_Cohen_v_Consilio_LLC,70,whether Consilio’s violative overtime policy was still in place.,"In the case ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment, the remaining dispute was","In the case ""Bruce Charles Cohen v. Consilio, LLC"", while reviewing the district court’s summary judgment ruling on Cohen’s MFLSA claim, the Eighth Circuit noted that although the parties agreed Cohen had been paid all overtime wages and liquidated damages before Consilio moved for summary judgment, the remaining dispute was whether Consilio’s violative overtime policy was still in place."
legal/Bruce_Cohen_v_Consilio_LLC,75,the court does not address it.,"According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court cited Milligan v. City of Red Oak for the rule that when a party’s brief does not support an assertion with argument or legal authority, the issue is waived, and","According to the opinion in ""Bruce Charles Cohen v. Consilio, LLC"", the court cited Milligan v. City of Red Oak for the rule that when a party’s brief does not support an assertion with argument or legal authority, the issue is waived, and the court does not address it."
legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC,73,“separately identifiable.”,"In the case ""Finesse Wireless LLC v. AT&T Mobility LLC"", in the district court’s summary-judgment claim-construction ruling on the ’775 patent, the claim words “three signals S1, S2 and S3” were construed as","In the case ""Finesse Wireless LLC v. AT&T Mobility LLC"", in the district court’s summary-judgment claim-construction ruling on the ’775 patent, the claim words “three signals S1, S2 and S3” were construed as “separately identifiable.”"
legal/Foad_Farahi_v_FBI,43,one of the agency's law enforcement duties.,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", the opinion said the FBI's declarations must establish a rational nexus between the investigation and","In the case ""Foad Farahi v. Federal Bureau of Investigation"", the opinion said the FBI's declarations must establish a rational nexus between the investigation and one of the agency's law enforcement duties."
legal/Foad_Farahi_v_FBI,82,a detailed justification for why the protected records were not reasonably segregable.,"According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", in its second order, the district court said Bender’s supplemental ex parte submission provided","According to the opinion in ""Foad Farahi v. Federal Bureau of Investigation"", in its second order, the district court said Bender’s supplemental ex parte submission provided a detailed justification for why the protected records were not reasonably segregable."
legal/Foad_Farahi_v_FBI,90,Bender’s ex parte declaration in its FOIA segregability analysis.,"In the case ""Foad Farahi v. Federal Bureau of Investigation"", Farahi argued that the district court relied too heavily on","In the case ""Foad Farahi v. Federal Bureau of Investigation"", Farahi argued that the district court relied too heavily on Bender’s ex parte declaration in its FOIA segregability analysis."
legal/Jimenez_v_Bondi,18,the Colombian government was unable or unwilling to protect them.,"In the case ""Jimenez v. Bondi"", the petitioners argued that even if they could not establish past persecution, they had a well-founded fear of future persecution because","In the case ""Jimenez v. Bondi"", the petitioners argued that even if they could not establish past persecution, they had a well-founded fear of future persecution because the Colombian government was unable or unwilling to protect them."
legal/Jimenez_v_Bondi,73,internal relocation within Colombia was not reasonably available.,"In the case ""Jimenez v. Bondi"", although the Immigration Judge found Petitioners credible, the IJ concluded that Petitioners failed to establish that","In the case ""Jimenez v. Bondi"", although the Immigration Judge found Petitioners credible, the IJ concluded that Petitioners failed to establish that internal relocation within Colombia was not reasonably available."
legal/Jimenez_v_Bondi,77,a well-founded fear of future persecution that the government was unable or unwilling to protect them.,"In the case ""Jimenez v. Bondi"", Petitioners argued that the BIA erred by finding that they did not establish","In the case ""Jimenez v. Bondi"", Petitioners argued that the BIA erred by finding that they did not establish a well-founded fear of future persecution that the government was unable or unwilling to protect them."
legal/Pacito_v_Trump,8,unaccompanied refugee children were at issue in the case.,"According to the opinion in ""Pacito v. Trump"", in Judge Lee’s separate opinion in Pacito v. Trump, after discussing 8 U.S.C. § 1522(d)(2)(B), the opinion noted that the record did not clearly show whether","According to the opinion in ""Pacito v. Trump"", in Judge Lee’s separate opinion in Pacito v. Trump, after discussing 8 U.S.C. § 1522(d)(2)(B), the opinion noted that the record did not clearly show whether unaccompanied refugee children were at issue in the case.
"
legal/Pacito_v_Trump,63,"“In providing assistance under this section [i.e., the discretionary funding provisions under §1522(b)-(e)]... ”","According to the opinion in ""Pacito v. Trump"", According to Judge Lee’s argument in Pacito v. Trump, the word ""shall"" in 8 U.S.C. § 1522(a) is limited by the immediately preceding phrase","According to the opinion in ""Pacito v. Trump"", According to Judge Lee’s argument in Pacito v. Trump, the word ""shall"" in 8 U.S.C. § 1522(a) is limited by the immediately preceding phrase “In providing assistance under this section [i.e., the discretionary funding provisions under §1522(b)-(e)]... ”."
legal/Santos_v_Kimmel,25,“instigated the creation of the original Works.”,"In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel had","In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel had “instigated the creation of the original Works.”"
legal/Santos_v_Kimmel,26,“to comment on the willingness of Santos... to say absurd things for money.”,"In the case ""George Santos v. James C. Kimmel"", in the fair-use analysis in the copyright action, Santos did not dispute the District Court’s finding about the purpose of the allegedly infringing use; according to that finding, the purpose of the use was","In the case ""George Santos v. James C. Kimmel"", in the fair-use analysis in the copyright action, Santos did not dispute the District Court’s finding about the purpose of the allegedly infringing use; according to that finding, the purpose of the use was “to comment on the willingness of Santos... to say absurd things for money.”
"
legal/Santos_v_Kimmel,33,bad faith and therefore nullified the fair use defense.,"In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel’s false representations demonstrated","In the case ""George Santos v. James C. Kimmel"", Santos argued that Kimmel’s false representations demonstrated bad faith and therefore nullified the fair use defense."
legal/Santos_v_Kimmel,55,"the essential terms of the parties’... contract, including those specific provisions of the contract upon which liability is predicated.","In the case ""George Santos v. James C. Kimmel"", when the court discussed Santos’s state-law contract claim, it said Santos’s complaint does not allege in nonconclusory language","In the case ""George Santos v. James C. Kimmel"", when the court discussed Santos’s state-law contract claim, it said Santos’s complaint does not allege in nonconclusory language the essential terms of the parties’... contract, including those specific provisions of the contract upon which liability is predicated.
"
legal/United_States_v_Constantinescu,13,false and misleading information about the security on social media.,"In the case ""United States v. Constantinescu"", the government alleged that, to “pump” a security’s price, the defendants posted","In the case ""United States v. Constantinescu"", the government alleged that, to “pump” a security’s price, the defendants posted false and misleading information about the security on social media.
"
legal/United_States_v_Constantinescu,29,to cause some harm to result from the deceit.,"In the case ""United States v. Constantinescu"", the opinion explains that the securities fraud statute’s “intent to defraud” element requires an intent to do two things, the second of which is","In the case ""United States v. Constantinescu"", the opinion explains that the securities fraud statute’s “intent to defraud” element requires an intent to do two things, the second of which is to cause some harm to result from the deceit.
"
legal/United_States_v_Constantinescu,60,false and misleading information about the security... so that other investors were induced to purchase the security.,"In the case ""United States v. Constantinescu"", where the court was considering whether the indictment sufficiently alleged an intent to defraud, the indictment alleged that the defendants posted","In the case ""United States v. Constantinescu"", where the court was considering whether the indictment sufficiently alleged an intent to defraud, the indictment alleged that the defendants posted false and misleading information about the security... so that other investors were induced to purchase the security.
"
legal/United_States_v_Jaison_Coleman,2,friendly and said they would not bite.,"In the case ""United States v. Jaison L. Coleman"", after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as","In the case ""United States v. Jaison L. Coleman"", after Lisa Coleman agreed to let Officer Jamie Kizer come inside, she described her dogs as friendly and said they would not bite."
legal/United_States_v_Jaison_Coleman,10,"denied Officer Kizer’s request to enter, which helped show that she did not have to consent.","According to the opinion in ""United States v. Jaison L. Coleman"", Lisa initially","According to the opinion in ""United States v. Jaison L. Coleman"", Lisa initially denied Officer Kizer’s request to enter, which helped show that she did not have to consent."
legal/United_States_v_Jaison_Coleman,20,the scope of Lisa Coleman’s consent once inside the home.,"In the case ""United States v. Jaison L. Coleman"", the district court found that the officers did not exceed","In the case ""United States v. Jaison L. Coleman"", the district court found that the officers did not exceed the scope of Lisa Coleman’s consent once inside the home."
legal/United_States_v_Jaison_Coleman,48,freely and voluntarily given.,"In the case ""United States v. Jaison L. Coleman"", the Supreme Court said consent must be","In the case ""United States v. Jaison L. Coleman"", the Supreme Court said consent must be freely and voluntarily given.
"
legal/United_States_v_Jaison_Coleman,55,“objective reasonableness.”,"In the case ""United States v. Jaison L. Coleman"", courts evaluate the scope of consent under the Fourth Amendment consent exception using the standard of","In the case ""United States v. Jaison L. Coleman"", courts evaluate the scope of consent under the Fourth Amendment consent exception using the standard of “objective reasonableness.”"
legal/United_States_v_Jaison_Coleman,65,to make sure the kids were okay,"In the case ""United States v. Jaison L. Coleman"", Coleman focused on Officer Kizer’s statement that the officers almost needed to come inside","In the case ""United States v. Jaison L. Coleman"", Coleman focused on Officer Kizer’s statement that the officers almost needed to come inside to make sure the kids were okay."
legal/United_States_v_Justin_Cutbank,24,an officer’s gun.,"In the case ""United States v. Justin Lyle Cutbank"", after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed","In the case ""United States v. Justin Lyle Cutbank"", after police found Cutbank at another house following his flight from D.F.’s residence, the opinion states that when officers attempted to detain him and he resisted, he grabbed an officer’s gun."
legal/United_States_v_Justin_Cutbank,29,the sawed-off Marlin.22 caliber rifle,"In the case ""United States v. Justin Lyle Cutbank"", before trial Cutbank moved to bar testimony from D.F. and C.F. under Federal Rule of Evidence 404(b), and D.F. and C.F. said they had previously seen Cutbank with","In the case ""United States v. Justin Lyle Cutbank"", before trial Cutbank moved to bar testimony from D.F. and C.F. under Federal Rule of Evidence 404(b), and D.F. and C.F. said they had previously seen Cutbank with the sawed-off Marlin.22 caliber rifle
"
legal/United_States_v_Justin_Cutbank,41,“when the hearsay declarants... actually appear in court and testify in person.”,"In the case ""United States v. Justin Lyle Cutbank"", after D.F. testified at trial, the Eighth Circuit cited United States v. Charboneau while addressing the Confrontation Clause issue, and under Charboneau the Confrontation Clause is satisfied","In the case ""United States v. Justin Lyle Cutbank"", after D.F. testified at trial, the Eighth Circuit cited United States v. Charboneau while addressing the Confrontation Clause issue, and under Charboneau the Confrontation Clause is satisfied “when the hearsay declarants... actually appear in court and testify in person.”
"
legal/United_States_v_Justin_Cutbank,49,her sister had been killed by a gun.,"In the case ""United States v. Justin Lyle Cutbank"", during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because","In the case ""United States v. Justin Lyle Cutbank"", during cross-examination about D.F.’s prior inconsistent statements concerning the gun, D.F. said she did not like guns because her sister had been killed by a gun."
legal/United_States_v_Justin_Cutbank,68,the PSR’s factual statements regarding Cutbank’s prior felony convictions.,"In the case ""United States v. Justin Lyle Cutbank"", during sentencing on the felon-in-possession conviction, the district court adopted without objection","In the case ""United States v. Justin Lyle Cutbank"", during sentencing on the felon-in-possession conviction, the district court adopted without objection the PSR’s factual statements regarding Cutbank’s prior felony convictions."
medical/Autoimmune_heparininduced_thrombocytopenia_following_cardiac,12,the patient's unusual clinical course.,"According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the issue that no other plausible diagnosis could explain was","According to the case report ""Autoimmune heparin-induced thrombocytopenia following cardiac surgery"", the issue that no other plausible diagnosis could explain was the patient's unusual clinical course."
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar,9,sleep-disordered breathing is suspected.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", recent guidelines note that patients with Chiari malformation type I should undergo routine polysomnography when","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", recent guidelines note that patients with Chiari malformation type I should undergo routine polysomnography when sleep-disordered breathing is suspected."
medical/Central_hypoventilation_and_choking_episodes_revealing_Chiar,46,11 mm.,"According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", MRI of the head and neck performed after a woman in her early 40s had recurrent choking episodes and chronic occipital headaches showed cerebellar tonsillar descent of","According to the case report ""Central hypoventilation and choking episodes revealing Chiari malformation type I"", MRI of the head and neck performed after a woman in her early 40s had recurrent choking episodes and chronic occipital headaches showed cerebellar tonsillar descent of 11 mm."
medical/Dermatomyositis_masquerading_as_angioedema_a_crucial_differe,54,flexible nasendoscopy was performed.,"According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after 3 weeks of progressive neck swelling in a man in his 40s,","According to the case report ""Dermatomyositis masquerading as angioedema: a crucial differential not to overlook"", after 3 weeks of progressive neck swelling in a man in his 40s, flexible nasendoscopy was performed.
"
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr,6,"creatine kinase (CK) elevation, before they began improving after drug discontinuation.","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the related patient with rhabdomyolysis-like findings on active treatment developed worsening laboratory abnormalities while receiving treatment, including","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", the related patient with rhabdomyolysis-like findings on active treatment developed worsening laboratory abnormalities while receiving treatment, including creatine kinase (CK) elevation, before they began improving after drug discontinuation.
"
medical/Immunemediated_necrotising_myopathy_following_semaglutide_tr,66,2 g/kg.,"According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", intravenous immunoglobulin was given at","According to the case report ""Immune-mediated necrotising myopathy following semaglutide treatment: a contributing factor?"", intravenous immunoglobulin was given at 2 g/kg."
medical/Management_of_atypical_complicated_abdominal_masses_in_the_s,114,8.3 ± 4.1 cm.,"According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", in the multicentre study by Sakinci et al., the mean myoma size was","According to the case report ""Management of atypical complicated abdominal masses in the second trimester of pregnancy"", in the multicentre study by Sakinci et al., the mean myoma size was 8.3 ± 4.1 cm."
medical/Multiphasic_anaphylaxis_in_the_emergency_and_intensive_care,104,an allergy confirmation test.,"According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", after multiphasic anaphylaxis to clarithromycin, the omitted test was","According to the case report ""Multiphasic anaphylaxis in the emergency and intensive care setting"", after multiphasic anaphylaxis to clarithromycin, the omitted test was an allergy confirmation test."
medical/Nontype_1_and_nontype_2_diabetes_in_a_young_man_due_to_novel,90,a progressive decline in beta-cell function.,"According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", HNF1A mutations lead to","According to the case report ""Non-type 1 and non-type 2 diabetes in a young man due to novel mutation in HNF1A"", HNF1A mutations lead to a progressive decline in beta-cell function.
"
