row_1based,decision,issue_type,reason,old_target,new_target,old_probe,new_probe,old_fact,new_fact
76,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", around one litre of dark red coloured pleural fluid was again aspirated, around one litre of dark red coloured pleural fluid was again aspirated.,"In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after the first discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing. During the repeat thoracocentesis performed for the right pleural effusion,","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after the first discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing. During the repeat thoracocentesis performed for the right pleural effusion,","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after the first discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing. During the repeat thoracocentesis performed for the right pleural effusion, around one litre of dark red coloured pleural fluid was again aspirated.","In the case report ""Pancreatopleural fistula in childhood"", the child was readmitted 6 days after the first discharge with recurrent right-sided chest pain, tachypnoea, and difficulty breathing. During the repeat thoracocentesis performed for the right pleural effusion, around one litre of dark red coloured pleural fluid was again aspirated."
77,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", slightly elevated, slightly elevated,"In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was re-admitted with chest pain, tachypnoea, and difficulty breathing, and his pleural fluid adenosine deaminase (ADA) was","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was re-admitted with chest pain, tachypnoea, and difficulty breathing, and his pleural fluid adenosine deaminase (ADA) was","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was re-admitted with chest pain, tachypnoea, and difficulty breathing, and his pleural fluid adenosine deaminase (ADA) was slightly elevated","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was re-admitted with chest pain, tachypnoea, and difficulty breathing, and his pleural fluid adenosine deaminase (ADA) was slightly elevated"
78,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", after 5 days, after 5 days.,"According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent right-sided chest pain and difficulty in breathing. The child was admitted for the third time","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent right-sided chest pain and difficulty in breathing. The child was admitted for the third time","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent right-sided chest pain and difficulty in breathing. The child was admitted for the third time after 5 days.","According to the case report ""Pancreatopleural fistula in childhood"", the child had recurrent right-sided chest pain and difficulty in breathing. The child was admitted for the third time after 5 days."
79,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", blunt abdominal trauma, blunt abdominal trauma.,"In the case report ""Pancreatopleural fistula in childhood,"" after his third admission the boy was re-evaluated. He reported that the bicycle-handle injury he had sustained 1 month earlier was","In the case report ""Pancreatopleural fistula in childhood,"" after his third admission the boy was re-evaluated. He reported that the bicycle-handle injury he had sustained 1 month earlier was","In the case report ""Pancreatopleural fistula in childhood,"" after his third admission the boy was re-evaluated. He reported that the bicycle-handle injury he had sustained 1 month earlier was blunt abdominal trauma.","In the case report ""Pancreatopleural fistula in childhood,"" after his third admission the boy was re-evaluated. He reported that the bicycle-handle injury he had sustained 1 month earlier was blunt abdominal trauma."
80,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", from the bicycle handle 1 month back, from the bicycle handle 1 month back.,"In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was later found to have a history of blunt abdominal trauma","In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was later found to have a history of blunt abdominal trauma","In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was later found to have a history of blunt abdominal trauma from the bicycle handle 1 month back.","In the case report ""Pancreatopleural fistula in childhood"", a boy with recurrent right-sided pleural effusions was later found to have a history of blunt abdominal trauma from the bicycle handle 1 month back."
81,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", right-sided hydropneumothorax, right-sided hydropneumothorax,"In the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent right-sided pleural effusions underwent a contrast-enhanced CT of the chest after repeated thoracocenteses and before intercostal drainage was inserted. The thoracic complication seen in the right hemithorax was","In the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent right-sided pleural effusions underwent a contrast-enhanced CT of the chest after repeated thoracocenteses and before intercostal drainage was inserted. The thoracic complication seen in the right hemithorax was","In the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent right-sided pleural effusions underwent a contrast-enhanced CT of the chest after repeated thoracocenteses and before intercostal drainage was inserted. The thoracic complication seen in the right hemithorax was right-sided hydropneumothorax","In the case report ""Pancreatopleural fistula in childhood,"" a boy with recurrent right-sided pleural effusions underwent a contrast-enhanced CT of the chest after repeated thoracocenteses and before intercostal drainage was inserted. The thoracic complication seen in the right hemithorax was right-sided hydropneumothorax"
82,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", till the tail of pancreas, till the tail of pancreas.,"In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions underwent chest CT after repeated admissions and a history of blunt abdominal trauma, and the scan showed a multiloculated hypodense collection tracking from the right pleural space through the paraesophageal region into the upper left-sided retroperitoneum","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions underwent chest CT after repeated admissions and a history of blunt abdominal trauma, and the scan showed a multiloculated hypodense collection tracking from the right pleural space through the paraesophageal region into the upper left-sided retroperitoneum","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions underwent chest CT after repeated admissions and a history of blunt abdominal trauma, and the scan showed a multiloculated hypodense collection tracking from the right pleural space through the paraesophageal region into the upper left-sided retroperitoneum till the tail of pancreas.","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions underwent chest CT after repeated admissions and a history of blunt abdominal trauma, and the scan showed a multiloculated hypodense collection tracking from the right pleural space through the paraesophageal region into the upper left-sided retroperitoneum till the tail of pancreas."
83,repair,source_framing_issue,Moved the case-report attribution to the beginning to satisfy medical case-report framing., around one litre, around one litre,"After the intercostal drainage (ICD) was inserted for the child's recurrent right-sided pleural effusion in the case report ""Pancreatopleural fistula in childhood"", the amount of dark red pleural fluid drained through the ICD was","According to the case report ""Pancreatopleural fistula in childhood"", after the intercostal drainage (ICD) was inserted for the child's recurrent right-sided pleural effusion, the amount of dark red pleural fluid drained through the ICD was","After the intercostal drainage (ICD) was inserted for the child's recurrent right-sided pleural effusion in the case report ""Pancreatopleural fistula in childhood"", the amount of dark red pleural fluid drained through the ICD was around one litre","According to the case report ""Pancreatopleural fistula in childhood"", after the intercostal drainage (ICD) was inserted for the child's recurrent right-sided pleural effusion, the amount of dark red pleural fluid drained through the ICD was around one litre"
84,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", dark red pleural fluid, dark red pleural fluid.,"In the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent right-sided pleural effusions led to insertion of an intercostal drainage (ICD), the ICD drained around one litre of","In the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent right-sided pleural effusions led to insertion of an intercostal drainage (ICD), the ICD drained around one litre of","In the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent right-sided pleural effusions led to insertion of an intercostal drainage (ICD), the ICD drained around one litre of dark red pleural fluid.","In the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent right-sided pleural effusions led to insertion of an intercostal drainage (ICD), the ICD drained around one litre of dark red pleural fluid."
85,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", through the oesophageal hiatus, through the oesophageal hiatus.,"According to the case report ""Pancreatopleural fistula in childhood"", MRCP performed after recurrent right-sided pleural effusions showed pancreatitis with a tubular cystic collection in the distal body and tail of the pancreas that tracked superiorly into the right pleural cavity","According to the case report ""Pancreatopleural fistula in childhood"", MRCP performed after recurrent right-sided pleural effusions showed pancreatitis with a tubular cystic collection in the distal body and tail of the pancreas that tracked superiorly into the right pleural cavity","According to the case report ""Pancreatopleural fistula in childhood"", MRCP performed after recurrent right-sided pleural effusions showed pancreatitis with a tubular cystic collection in the distal body and tail of the pancreas that tracked superiorly into the right pleural cavity through the oesophageal hiatus.","According to the case report ""Pancreatopleural fistula in childhood"", MRCP performed after recurrent right-sided pleural effusions showed pancreatitis with a tubular cystic collection in the distal body and tail of the pancreas that tracked superiorly into the right pleural cavity through the oesophageal hiatus."
86,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the distal pancreatic duct, the distal pancreatic duct,"According to the case report ""Pancreatopleural fistula in childhood"", during MRCP performed after the child’s recurrent right-sided pleural effusions and the history of blunt abdominal trauma, the collection was seen communicating with","According to the case report ""Pancreatopleural fistula in childhood"", during MRCP performed after the child’s recurrent right-sided pleural effusions and the history of blunt abdominal trauma, the collection was seen communicating with","According to the case report ""Pancreatopleural fistula in childhood"", during MRCP performed after the child’s recurrent right-sided pleural effusions and the history of blunt abdominal trauma, the collection was seen communicating with the distal pancreatic duct","According to the case report ""Pancreatopleural fistula in childhood"", during MRCP performed after the child’s recurrent right-sided pleural effusions and the history of blunt abdominal trauma, the collection was seen communicating with the distal pancreatic duct"
87,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", narrowing of the pancreatic duct proximal to the communication., narrowing of the pancreatic duct proximal to the communication.,"According to the case report ""Pancreatopleural fistula in childhood"", MRCP showed a collection communicating with the distal pancreatic duct, with","According to the case report ""Pancreatopleural fistula in childhood"", MRCP showed a collection communicating with the distal pancreatic duct, with","According to the case report ""Pancreatopleural fistula in childhood"", MRCP showed a collection communicating with the distal pancreatic duct, with narrowing of the pancreatic duct proximal to the communication.","According to the case report ""Pancreatopleural fistula in childhood"", MRCP showed a collection communicating with the distal pancreatic duct, with narrowing of the pancreatic duct proximal to the communication."
88,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 6118 U/L, 6118 U/L,"According to the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent dark red pleural effusions were evaluated and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid amylase concentration was","According to the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent dark red pleural effusions were evaluated and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid amylase concentration was","According to the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent dark red pleural effusions were evaluated and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid amylase concentration was 6118 U/L","According to the case report ""Pancreatopleural fistula in childhood"", after the child’s recurrent dark red pleural effusions were evaluated and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid amylase concentration was 6118 U/L"
89,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 7211 U/L, 7211 U/L,"According to the case report ""Pancreatopleural fistula in childhood"", after the child was found to have recurrent dark red pleural effusions and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid lipase concentration was","According to the case report ""Pancreatopleural fistula in childhood"", after the child was found to have recurrent dark red pleural effusions and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid lipase concentration was","According to the case report ""Pancreatopleural fistula in childhood"", after the child was found to have recurrent dark red pleural effusions and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid lipase concentration was 7211 U/L","According to the case report ""Pancreatopleural fistula in childhood"", after the child was found to have recurrent dark red pleural effusions and pleural fluid analysis was performed to support the diagnosis of pancreatopleural fistula, the pleural fluid lipase concentration was 7211 U/L"
90,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", nil per oral and total parenteral nutrition., nil per oral and total parenteral nutrition.,"According to the case report ""Pancreatopleural fistula in childhood"", after the child with recurrent right-sided pleural effusions was treated and antitubercular drugs were stopped, he was put on","According to the case report ""Pancreatopleural fistula in childhood"", after the child with recurrent right-sided pleural effusions was treated and antitubercular drugs were stopped, he was put on","According to the case report ""Pancreatopleural fistula in childhood"", after the child with recurrent right-sided pleural effusions was treated and antitubercular drugs were stopped, he was put on nil per oral and total parenteral nutrition.","According to the case report ""Pancreatopleural fistula in childhood"", after the child with recurrent right-sided pleural effusions was treated and antitubercular drugs were stopped, he was put on nil per oral and total parenteral nutrition."
91,repair,source_framing_issue,Repaired malformed case-report title framing by adding quotation marks around the title., chest pain, chest pain,"In the case report Pancreatopleural fistula in childhood, the child presented with pleural effusion after a definite history of blunt abdominal trauma 1 month earlier, and the accompanying symptom at presentation was","In the case report ""Pancreatopleural fistula in childhood"", the child presented with pleural effusion after a definite history of blunt abdominal trauma 1 month earlier, and the accompanying symptom at presentation was","In the case report Pancreatopleural fistula in childhood, the child presented with pleural effusion after a definite history of blunt abdominal trauma 1 month earlier, and the accompanying symptom at presentation was chest pain","In the case report ""Pancreatopleural fistula in childhood"", the child presented with pleural effusion after a definite history of blunt abdominal trauma 1 month earlier, and the accompanying symptom at presentation was chest pain"
92,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", abdominal trauma, abdominal trauma.,"According to the case report ""Pancreatopleural fistula in childhood"", the child presented with pleural effusion and chest pain, and the history specifically noted a prior event 1 month before presentation, which was","According to the case report ""Pancreatopleural fistula in childhood"", the child presented with pleural effusion and chest pain, and the history specifically noted a prior event 1 month before presentation, which was","According to the case report ""Pancreatopleural fistula in childhood"", the child presented with pleural effusion and chest pain, and the history specifically noted a prior event 1 month before presentation, which was abdominal trauma.","According to the case report ""Pancreatopleural fistula in childhood"", the child presented with pleural effusion and chest pain, and the history specifically noted a prior event 1 month before presentation, which was abdominal trauma."
93,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", GeneXpert for MTB was negative, GeneXpert for MTB was negative.,"According to the case report ""Pancreatopleural fistula in childhood"", during evaluation for recurrent pleural effusion in a child with a family history of Koch’s contact and a mildly elevated pleural fluid ADA, the tuberculosis test result was","According to the case report ""Pancreatopleural fistula in childhood"", during evaluation for recurrent pleural effusion in a child with a family history of Koch’s contact and a mildly elevated pleural fluid ADA, the tuberculosis test result was","According to the case report ""Pancreatopleural fistula in childhood"", during evaluation for recurrent pleural effusion in a child with a family history of Koch’s contact and a mildly elevated pleural fluid ADA, the tuberculosis test result was GeneXpert for MTB was negative.","According to the case report ""Pancreatopleural fistula in childhood"", during evaluation for recurrent pleural effusion in a child with a family history of Koch’s contact and a mildly elevated pleural fluid ADA, the tuberculosis test result was GeneXpert for MTB was negative."
94,repair,source_framing_issue,Moved the case-report attribution to the beginning to satisfy medical case-report framing., was mildly elevated, was mildly elevated,"During the evaluation of the child’s pleural effusion in the case report ""Pancreatopleural fistula in childhood"", the family history also included Koch’s contact, and the pleural fluid ADA","According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of the child's pleural effusion, the family history also included Koch's contact, and the pleural fluid ADA","During the evaluation of the child’s pleural effusion in the case report ""Pancreatopleural fistula in childhood"", the family history also included Koch’s contact, and the pleural fluid ADA was mildly elevated","According to the case report ""Pancreatopleural fistula in childhood"", during the evaluation of the child's pleural effusion, the family history also included Koch's contact, and the pleural fluid ADA was mildly elevated"
95,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", no signs of fever or any neutrophilic exudate in the pleural fluid, no signs of fever or any neutrophilic exudate in the pleural fluid,"According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural fluid did not suggest empyema and there were","According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural fluid did not suggest empyema and there were","According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural fluid did not suggest empyema and there were no signs of fever or any neutrophilic exudate in the pleural fluid","According to the case report ""Pancreatopleural fistula in childhood"", the child’s pleural fluid did not suggest empyema and there were no signs of fever or any neutrophilic exudate in the pleural fluid"
96,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", passing stools normally, passing stools normally,"According to the case report ""Pancreatopleural fistula in childhood"", when Boerhaave’s syndrome was considered during the evaluation of the child with recurrent pleural effusion and a history of abdominal trauma, the bowel-related finding that helped rule it out was","According to the case report ""Pancreatopleural fistula in childhood"", when Boerhaave’s syndrome was considered during the evaluation of the child with recurrent pleural effusion and a history of abdominal trauma, the bowel-related finding that helped rule it out was","According to the case report ""Pancreatopleural fistula in childhood"", when Boerhaave’s syndrome was considered during the evaluation of the child with recurrent pleural effusion and a history of abdominal trauma, the bowel-related finding that helped rule it out was passing stools normally","According to the case report ""Pancreatopleural fistula in childhood"", when Boerhaave’s syndrome was considered during the evaluation of the child with recurrent pleural effusion and a history of abdominal trauma, the bowel-related finding that helped rule it out was passing stools normally"
97,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", abdominal organs were not visible in the chest on imaging., abdominal organs were not visible in the chest on imaging.,"In the case report ""Pancreatopleural fistula in childhood"", the clinicians considered acquired diaphragmatic hernia but ruled it out because","In the case report ""Pancreatopleural fistula in childhood"", the clinicians considered acquired diaphragmatic hernia but ruled it out because","In the case report ""Pancreatopleural fistula in childhood"", the clinicians considered acquired diaphragmatic hernia but ruled it out because abdominal organs were not visible in the chest on imaging.","In the case report ""Pancreatopleural fistula in childhood"", the clinicians considered acquired diaphragmatic hernia but ruled it out because abdominal organs were not visible in the chest on imaging."
98,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the liver function tests and liver imaging were normal, the liver function tests and liver imaging were normal,"According to the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was considered and then ruled out during the differential diagnosis of this child's pleural effusion because","According to the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was considered and then ruled out during the differential diagnosis of this child's pleural effusion because","According to the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was considered and then ruled out during the differential diagnosis of this child's pleural effusion because the liver function tests and liver imaging were normal","According to the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was considered and then ruled out during the differential diagnosis of this child's pleural effusion because the liver function tests and liver imaging were normal"
99,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", the child did not have any history of chronic liver disease., the child did not have any history of chronic liver disease.,"In the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was ruled out because the liver function tests and liver imaging were normal, and","In the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was ruled out because the liver function tests and liver imaging were normal, and","In the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was ruled out because the liver function tests and liver imaging were normal, and the child did not have any history of chronic liver disease.","In the case report ""Pancreatopleural fistula in childhood"", hepatic hydrothorax was ruled out because the liver function tests and liver imaging were normal, and the child did not have any history of chronic liver disease."
100,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", antitubercular drugs were started, antitubercular drugs were started.,"In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was initially treated empirically while the diagnosis was still uncertain, and","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was initially treated empirically while the diagnosis was still uncertain, and","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was initially treated empirically while the diagnosis was still uncertain, and antitubercular drugs were started.","In the case report ""Pancreatopleural fistula in childhood"", a child with recurrent right-sided pleural effusions was initially treated empirically while the diagnosis was still uncertain, and antitubercular drugs were started."
101,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", on the right side, on the right side,"In the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pleural effusions and was admitted for a third time, when an intercostal drainage catheter was inserted","In the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pleural effusions and was admitted for a third time, when an intercostal drainage catheter was inserted","In the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pleural effusions and was admitted for a third time, when an intercostal drainage catheter was inserted on the right side","In the case report ""Pancreatopleural fistula in childhood"", the child had recurrent pleural effusions and was admitted for a third time, when an intercostal drainage catheter was inserted on the right side"
102,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", around one litre of blood-stained pleural fluid was again drained in the ICD bag, around one litre of blood-stained pleural fluid was again drained in the ICD bag.,"According to the case report ""Pancreatopleural fistula in childhood"", during the third episode of admission, after a right intercostal drain (ICD) was inserted under aseptic precautions,","According to the case report ""Pancreatopleural fistula in childhood"", during the third episode of admission, after a right intercostal drain (ICD) was inserted under aseptic precautions,","According to the case report ""Pancreatopleural fistula in childhood"", during the third episode of admission, after a right intercostal drain (ICD) was inserted under aseptic precautions, around one litre of blood-stained pleural fluid was again drained in the ICD bag.","According to the case report ""Pancreatopleural fistula in childhood"", during the third episode of admission, after a right intercostal drain (ICD) was inserted under aseptic precautions, around one litre of blood-stained pleural fluid was again drained in the ICD bag."
103,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Octreotide infusion in the following dose 30 µg/kg/day (10–40 µg/kg/day)., Octreotide infusion in the following dose 30 µg/kg/day (10–40 µg/kg/day).,"In the case report ""Pancreatopleural fistula in childhood"", after the child developed pancreatopleural fistula with recurrent blood-stained pleural effusions and conservative management was chosen first, he was kept nil per oral and was started on","In the case report ""Pancreatopleural fistula in childhood"", after the child developed pancreatopleural fistula with recurrent blood-stained pleural effusions and conservative management was chosen first, he was kept nil per oral and was started on","In the case report ""Pancreatopleural fistula in childhood"", after the child developed pancreatopleural fistula with recurrent blood-stained pleural effusions and conservative management was chosen first, he was kept nil per oral and was started on Octreotide infusion in the following dose 30 µg/kg/day (10–40 µg/kg/day).","In the case report ""Pancreatopleural fistula in childhood"", after the child developed pancreatopleural fistula with recurrent blood-stained pleural effusions and conservative management was chosen first, he was kept nil per oral and was started on Octreotide infusion in the following dose 30 µg/kg/day (10–40 µg/kg/day)."
104,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", 30 µg/kg/day (10–40 µg/kg/day), 30 µg/kg/day (10–40 µg/kg/day),"In the case report ""Pancreatopleural fistula in childhood"", after diagnosis the child was managed conservatively and kept nil per oral, and octreotide infusion was started at","In the case report ""Pancreatopleural fistula in childhood"", after diagnosis the child was managed conservatively and kept nil per oral, and octreotide infusion was started at","In the case report ""Pancreatopleural fistula in childhood"", after diagnosis the child was managed conservatively and kept nil per oral, and octreotide infusion was started at 30 µg/kg/day (10–40 µg/kg/day)","In the case report ""Pancreatopleural fistula in childhood"", after diagnosis the child was managed conservatively and kept nil per oral, and octreotide infusion was started at 30 µg/kg/day (10–40 µg/kg/day)"
105,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", a balanced diet, a balanced diet,"According to the case report ""Pancreatopleural fistula in childhood"", after the child’s hospital discharge and lifestyle changes, he is now following regular exercise and is on","According to the case report ""Pancreatopleural fistula in childhood"", after the child’s hospital discharge and lifestyle changes, he is now following regular exercise and is on","According to the case report ""Pancreatopleural fistula in childhood"", after the child’s hospital discharge and lifestyle changes, he is now following regular exercise and is on a balanced diet","According to the case report ""Pancreatopleural fistula in childhood"", after the child’s hospital discharge and lifestyle changes, he is now following regular exercise and is on a balanced diet"
106,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", regular exercise, regular exercise.,"According to the case report ""Pancreatopleural fistula in childhood,"" after the child was discharged and advised to make lifestyle changes, he is now maintaining a balanced diet with","According to the case report ""Pancreatopleural fistula in childhood,"" after the child was discharged and advised to make lifestyle changes, he is now maintaining a balanced diet with","According to the case report ""Pancreatopleural fistula in childhood,"" after the child was discharged and advised to make lifestyle changes, he is now maintaining a balanced diet with regular exercise.","According to the case report ""Pancreatopleural fistula in childhood,"" after the child was discharged and advised to make lifestyle changes, he is now maintaining a balanced diet with regular exercise."
107,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", an extremely rare and infrequent complication of pancreatic disease in the paediatric population., an extremely rare and infrequent complication of pancreatic disease in the paediatric population.,"According to the case report ""Pancreatopleural fistula in childhood,"" pancreatopleural fistula (PPF) is","According to the case report ""Pancreatopleural fistula in childhood,"" pancreatopleural fistula (PPF) is","According to the case report ""Pancreatopleural fistula in childhood,"" pancreatopleural fistula (PPF) is an extremely rare and infrequent complication of pancreatic disease in the paediatric population.","According to the case report ""Pancreatopleural fistula in childhood,"" pancreatopleural fistula (PPF) is an extremely rare and infrequent complication of pancreatic disease in the paediatric population."
108,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", around 0.4%, around 0.4% of pancreatitis cases overall.,"According to the case report ""Pancreatopleural fistula in childhood"", the authors note that although the exact incidence in children is unknown, pancreatopleural fistula complicates","According to the case report ""Pancreatopleural fistula in childhood"", the authors note that although the exact incidence in children is unknown, pancreatopleural fistula complicates","According to the case report ""Pancreatopleural fistula in childhood"", the authors note that although the exact incidence in children is unknown, pancreatopleural fistula complicates around 0.4% of pancreatitis cases overall.","According to the case report ""Pancreatopleural fistula in childhood"", the authors note that although the exact incidence in children is unknown, pancreatopleural fistula complicates around 0.4% of pancreatitis cases overall."
109,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", children, children.,"In the case report ""Pancreatopleural fistula in childhood"", the discussion notes that the exact incidence of pancreatopleural fistula is unknown in","In the case report ""Pancreatopleural fistula in childhood"", the discussion notes that the exact incidence of pancreatopleural fistula is unknown in","In the case report ""Pancreatopleural fistula in childhood"", the discussion notes that the exact incidence of pancreatopleural fistula is unknown in children.","In the case report ""Pancreatopleural fistula in childhood"", the discussion notes that the exact incidence of pancreatopleural fistula is unknown in children."
110,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations, Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations.,"In the case report ""Pancreatopleural fistula in childhood"", the discussion notes a genetic association with paediatric chronic pancreatitis, and the mutations that feature prominently and account for up to 30% of paediatric chronic pancreatitis cases are","In the case report ""Pancreatopleural fistula in childhood"", the discussion notes a genetic association with paediatric chronic pancreatitis, and the mutations that feature prominently and account for up to 30% of paediatric chronic pancreatitis cases are","In the case report ""Pancreatopleural fistula in childhood"", the discussion notes a genetic association with paediatric chronic pancreatitis, and the mutations that feature prominently and account for up to 30% of paediatric chronic pancreatitis cases are Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations.","In the case report ""Pancreatopleural fistula in childhood"", the discussion notes a genetic association with paediatric chronic pancreatitis, and the mutations that feature prominently and account for up to 30% of paediatric chronic pancreatitis cases are Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations."
111,keep,,"Source-backed, meaningful target with acceptable medical case-report framing; no v13 repair needed.", up to 30% of paediatric chronic pancreatitis., up to 30% of paediatric chronic pancreatitis.,"In the discussion of the case report ""Pancreatopleural fistula in childhood"", it is noted that Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations feature prominently, accounting for","In the discussion of the case report ""Pancreatopleural fistula in childhood"", it is noted that Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations feature prominently, accounting for","In the discussion of the case report ""Pancreatopleural fistula in childhood"", it is noted that Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations feature prominently, accounting for up to 30% of paediatric chronic pancreatitis.","In the discussion of the case report ""Pancreatopleural fistula in childhood"", it is noted that Serine peptidase inhibitor Kazal type 1 (SPINK1) and PRSS1 mutations feature prominently, accounting for up to 30% of paediatric chronic pancreatitis."
