domain,probe_index,source_correct,source_pred,source_group,para_correct,para_pred,expl_correct,expl_pred,model,expl_over_source,expl_over_para,probe_file,question,answer,correct_label,option_a,option_b,option_c,option_d,option_e,inference_type,derivation,source_facts
xLSTM,0,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,Which xLSTM cell matches both of these goals: larger storage capacity and full parallelization?,mLSTM,(B),sLSTM,mLSTM,the scalar-update xLSTM variant,the scalar-memory cell with memory mixing,the standard LSTM with exponential gating,Multi-Fact Integration,"The variant that explicitly increases storage capacity via a matrix memory is mLSTM, and the same sentence also states that this variant is fully parallelizable.","['To enhance storage capacities of LSTMs, we increase the LSTM memory cell from a scalar $c \\in \\mathbb{R}$ to a matrix $\\mathbf{C} \\in \\mathbb{R}^{d \\times d}$.', 'Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.']"
xLSTM,7,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"If you want a tested 2-block xLSTM that contains both matrix memory and memory mixing, which architecture fits?",xLSTM[1:1],(C),xLSTM[1:0],Mamba,xLSTM[1:1],xLSTM[0:1],LSTM (Block),Multi-Fact Integration,"A 2-block xLSTM[1:1] includes both one sLSTM block and one mLSTM block, so it is the tested architecture that combines memory mixing with matrix memory.","['Those modifications --- exponential gating and novel memory structures --- enrich the LSTM family by two members: (i) the new sLSTM (see Section~\\ref{sec:sLSTM}) with a scalar memory, a scalar update, and memory mixing, and (ii) the new mLSTM (see Section~\\ref{sec:mLSTM}) with a matrix memory and a covariance (outer product) update rule, which is fully parallelizable.', 'We compare 2-block architectures of the following methods on these tasks: xLSTM[0:1] (i.e., only sLSTM), xLSTM[1:0] (i.e., only mLSTM), xLSTM[1:1], Llama, Mamba, RWKV, Retention, Hyena, LSTM, and LSTM in Transformer blocks (LSTM (Block)).']"
xLSTM,9,0,,arxiv,0,,1,,32B,1,1,probes/arxiv/xLSTM/inference/probes_v12_mcqa.csv,"After residual backbones and up-projection are already in place, which two later additions are identified as the main sources of xLSTM's performance gain?",exponential gating and matrix memory,(C),LSTM layer integration and post up-projection blocks,matrix memory and post up-projection blocks,exponential gating and matrix memory,pre-LayerNorm residual backbones and post up-projection blocks,exponential gating and pre-LayerNorm residual backbones,Multi-Fact Integration,"Since the ablation sequence separates backbone changes from the final additions, and the reported gains are attributed to the latter, those two additions are the main drivers.","['Firstly, we integrate LSTM layers into pre-LayerNorm residual backbones. Secondly, we extend this to a post up-projection block. Finally, we add exponential gating and matrix memory.', 'The ablation studies attribute the strong performance improvement to both the exponential gating and the matrix memory.']"
America_First_Legal_Foundation_v_Jamieson_Greer,4,0,,legal,0,,1,,32B,1,1,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v12_mcqa.csv,"Under the court’s reasoning, what was missing if AFL had only a bare right to an OSC investigation?",a concrete interest,(E),a final OSC determination,a particularized procedural right,a statutory cause of action,a substantive right to a favorable investigation outcome,a concrete interest,Reasoning Step,"A bare failure to give procedure is not enough unless that failure affects a concrete, particularized interest.","['But the “deprivation of a procedural right without some concrete interest that is affected by the deprivation—a procedural right in vacuo—is insufficient” to confer Article III standing.', 'In such cases, plaintiffs thus must show that the violation of a procedural right “resulted in injury” to some “concrete, particularized interest.”']"
America_First_Legal_Foundation_v_Jamieson_Greer,10,1,,legal,1,,0,,32B,-1,-1,probes/legal/America_First_Legal_Foundation_v_Jamieson_Greer/inference/probes_v12_mcqa.csv,"Besides DOJ and MSPB, what additional contingency further weakened redressability in AFL’s first theory?",OSC’s enforcement discretion,(B),a favorable judgment’s direct redress of AFL’s informational injury,OSC’s enforcement discretion,DOJ’s prosecutorial discretion,MSPB’s willingness to order corrective action,the court’s authority to compel OSC to open an investigation,Synthesized Insight,"Even before considering other agencies, the theory depended on OSC taking discretionary enforcement steps that a court could not force.","['And it requires speculation about how OSC might choose to exercise its enforcement discretion, which the courts generally may not compel.', 'Given this speculative chain, AFL has not shown that a favorable judgment here “would very likely spur the next steps necessary to redress” its informational injury.']"
Apex_Bank_v_Cc_Serve_Corp,0,0,,legal,1,,1,,32B,1,0,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,"If remand shows the field is crowded with similar Aspire marks, what does the opinion say that tends to show about CC Serve’s mark?",lack of commercial strength,(C),presumption of exclusive rights in the Aspire term,broader scope of protection against similar marks,lack of commercial strength,heightened likelihood of consumer confusion,stronger inherent distinctiveness,Reasoning Step,"If remand reveals many similar Aspire marks in the field, the opinion says that would indicate the mark lacks commercial strength.","['When a field is crowded with similar marks, the theory is that customers will be more adept at distinguishing marks from each other and are less likely to be confused by similar marks.', 'Evidence that consumers have been educated to distinguish between marks in this way tends to indicate a lack of commercial strength.']"
Apex_Bank_v_Cc_Serve_Corp,1,0,,legal,1,,1,,32B,1,0,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,What feature of the ASPIRE mark could change on remand and thereby alter the first-factor analysis?,commercial strength or weakness,(A),commercial strength or weakness,overall commercial impression,normal scope of protection accorded to the mark,priority of use in the ASPIRE name,conceptual distinctiveness as an inherently distinctive mark,Reasoning Step,The court vacated factor one because a new strength-or-weakness determination under factor six could alter the premise supporting the prior commercial-impression analysis.,"['The Board found that “[CC Serve] has not shown that its mark has any particular commercial strength, but [Apex] has not shown that [CC Serve]’s mark is commercially or conceptually weak such that it is entitled to a narrow scope of protection,” and determined that CC Serve’s mark is entitled to the “normal scope of protection accorded inherently distinctive marks.” J.A. 51.', 'Because commercial impression informs the analysis under the first DuPont factor, we must similarly vacate the Board’s analysis here because reconsideration of the sixth DuPont factor may result in a different determination of the mark’s commercial strength or weakness and affect the overall commercial impression.']"
Apex_Bank_v_Cc_Serve_Corp,5,0,,legal,1,,1,,32B,1,0,probes/legal/Apex_Bank_v_Cc_Serve_Corp/inference/probes_v12_mcqa.csv,"After the examining attorney approved publication despite CC Serve’s protest, what procedural device did CC Serve use next to challenge Apex’s marks?",an opposition,(D),a notice of appeal to the TTAB,a second letter of protest,a request for reconsideration with the examining attorney,an opposition,a petition to cancel,Multi-Fact Integration,"Once the protest did not stop publication, CC Serve continued its challenge by filing an opposition.","['During prosecution, CC Serve submitted a letter of protest asserting that Apex’s proposed marks were confusingly similar to CC Serve’s mark.', 'Nonetheless, the examining attorney approved the ASPIRE BANK word and design marks for publication, and the marks published on December 17, 2019.', 'CC Serve initiated an opposition to Apex’s marks in February 2020, alleging a likelihood of confusion with CC Serve’s standard character mark, ASPIRE.']"
Bruce_Cohen_v_Consilio_LLC,1,0,,legal,0,,1,,32B,1,1,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,What procedural defect kept Cohen’s request to rescind the 2019 overtime policy from being considered on appeal?,raised only in summary judgment briefing,(D),rendered moot by later policy changes,included only in an untimely Rule 15 motion,omitted from the notice of appeal,raised only in summary judgment briefing,first presented in his appellate reply brief,Reasoning Step,"Because Cohen switched to a new injunction request in summary-judgment briefing rather than by amendment, the appellate court treated that request as procedurally improper.","['In his complaint, Cohen sought certain specific forms of injunctive relief, only to later change course and request different relief—withdrawing the 2019 policy—in his summary judgment briefing.', 'And the district court—understandably—did not consider it. Thus, the issue is not properly before us.', 'See InfoDeli, LLC, 136 F.4th at 801 n.6 (8th Cir. 2025) (explaining that “[n]ew claims are properly raised through amended complaints, not opposition briefs”); see also Fed. R. Civ. P. 15(a).']"
Bruce_Cohen_v_Consilio_LLC,4,0,,legal,1,,0,,32B,0,-1,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,"After Cohen conceded full payment, what kind of MWTA recovery did the court find unsupported by any cited statutory authority?",civil penalties,(B),liquidated damages,civil penalties,prejudgment interest,attorney’s fees and costs,treble damages,Multi-Fact Integration,"Because Cohen conceded full payment and cited no statutory basis for extra penalties, the only additional MWTA recovery he sought was unsupported.","['Cohen stipulated that he received all pay Consilio owes him, and he points to no statutory authority allowing for civil penalties under this statute.', 'With no meaningful argument in support of reversal, we will not disturb the district court’s order dismissing this claim.']"
Bruce_Cohen_v_Consilio_LLC,6,1,,legal,1,,0,,32B,-1,-1,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,"After the appeal, which claim alone was sent back for further proceedings?",MFLSA claim,(B),retaliation claim,MFLSA claim,breach-of-contract claim,Maryland Wage Payment and Collection Law claim,FLSA claim,Reasoning Step,"Because every other ruling was affirmed and only the MFLSA ruling was vacated, that was the sole claim returned to the district court.","['Accordingly, we vacate the district court’s grant of summary judgment as to Cohen’s MFLSA claim and remand for the district court to determine its jurisdiction.', 'We otherwise affirm.']"
Bruce_Cohen_v_Consilio_LLC,7,0,,legal,0,,1,,32B,1,1,probes/legal/Bruce_Cohen_v_Consilio_LLC/inference/probes_v12_mcqa.csv,What filing would Cohen have needed to properly present his new request that Consilio withdraw the 2019 policy?,an amended complaint,(A),an amended complaint,a supplemental complaint,a motion to reconsider,an opposition brief,a Rule 65 motion for injunctive relief,Reasoning Step,"Since Cohen changed the requested injunctive relief in briefing and new claims must be raised by amendment, he needed to amend his pleading to properly present that request.","['In his complaint, Cohen sought certain specific forms of injunctive relief, only to later change course and request different relief—withdrawing the 2019 policy—in his summary judgment briefing.', 'Thus, the issue is not properly before us. See InfoDeli, LLC, 136 F.4th at 801 n.6 (8th Cir. 2025) (explaining that “[n]ew claims are properly raised through amended complaints, not opposition briefs”); see also Fed. R. Civ. P. 15(a).']"
Finesse_Wireless_LLC_v_Att_Mobility_LLC,5,0,,legal,0,,1,,32B,1,1,probes/legal/Finesse_Wireless_LLC_v_Att_Mobility_LLC/inference/probes_v12_mcqa.csv,Why could Finesse’s new appellate clarification of the multiplication mapping not preserve the jury’s ’775 verdict under the court’s stated standard?,not presented to the jury,(A),not presented to the jury,inconsistent with the district court’s claim construction,waived by Finesse’s failure to preserve the issue in its post-trial motions,outside the scope of the asserted ’775 claims,contradicted by Finesse’s own infringement expert,Synthesized Insight,"Because substantial-evidence review looks to what the jury heard at trial, a new appellate explanation cannot supply missing proof.","['A factual finding is supported by substantial evidence if a reasonable jury could have found in favor of the prevailing party in light of the evidence presented at trial.', 'Finesse attempts to clarify the mapping on appeal, but that evidence was never presented to the jury.']"
Foad_Farahi_v_FBI,5,1,,legal,0,,0,,32B,-1,0,probes/legal/Foad_Farahi_v_FBI/inference/probes_v12_mcqa.csv,"Because disclosure would tip off targets about the scope of the investigation, what Exemption 7(A) consequence followed?",interference with enforcement proceedings,(B),unwarranted invasion of personal privacy,interference with enforcement proceedings,revelation of confidential source information,jeopardy to a possible future criminal case,disclosure of investigative techniques and procedures,Reasoning Step,Tipping off targets about the scope of an evidence-gathering investigation is exactly the kind of premature release that jeopardizes a possible future case.,"['The public Hardy declaration explained that disclosure of information regarding an ongoing investigation could reasonably be expected to interfere with it by tipping off the targets about the scope of the investigation—a widely accepted justification in Exemption 7(A) cases.', '“[S]o long as the investigation continues to gather evidence for a possible future criminal case, and that case would be jeopardized by the premature release of that evidence, Exemption 7(A) applies.”']"
Jimenez_v_Bondi,0,0,,legal,1,,1,,32B,1,0,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv,"Even if Petitioners had established past persecution and gained the presumption, what stated ground could still have rebutted it?",relocating to another part of Colombia,(A),relocating to another part of Colombia,proving that their fear stemmed from generalized criminal violence rather than persecution,seeking protection from Colombian authorities in their home region,relocating to a neighboring country outside Colombia,showing only that general conditions in Colombia had improved,Multi-Fact Integration,"Even if the presumption had arisen from past persecution, the court identified relocation elsewhere in Colombia as a stated way to rebut it.","['One way an applicant may obtain refugee status is “through a showing of past persecution, which gives rise to a rebuttable presumption of a well-founded fear of future persecution.”', 'The government may rebut an applicant’s presumption of a well-founded fear of future persecution and prevent his asylum application if it shows by a preponderance of the evidence that: “(1) there has been a ‘fundamental change’ in circumstances, such that the applicant no longer has a well-founded fear of persecution; or (2) the applicant could avoid future persecution by relocating to another part of the applicant’s country.”', 'Petitioners have not demonstrated a fear of future persecution, but even if they had, the record supports the finding that they could reasonably relocate to another part of Colombia.']"
Jimenez_v_Bondi,2,1,,legal,1,,0,,32B,-1,-1,probes/legal/Jimenez_v_Bondi/inference/probes_v12_mcqa.csv,What overarching eligibility showing did those combined failures prevent Petitioners from making?,refugee status,(D),a nexus to a statutorily protected ground,the inability to safely relocate within Colombia,past persecution,refugee status,the Colombian government's unwillingness or inability to protect them,Synthesized Insight,"Because asylum eligibility required proving refugee status and the court found multiple required components missing, Petitioners failed to establish that overall status.","['To be eligible for a discretionary grant of asylum, an applicant bears the burden of proving by a preponderance of the evidence that he is a refugee.', 'Petitioners fail to demonstrate that they suffered persecution, that their alleged persecution had a nexus to a statutorily protected ground, or that the Colombian government is unwilling or unable to help them. Nor does the record show that Petitioners cannot safely relocate within Colombia.']"
Pacito_v_Trump,2,1,,legal,0,,1,,32B,0,1,probes/legal/Pacito_v_Trump/inference/probes_v12_mcqa.csv,Which stay factor points in opposite directions for the admissions issue and the APA services issue?,likelihood of success,(D),the first two factors together,public interest,balance of equities,likelihood of success,irreparable injury,Synthesized Insight,"Since the court identifies the first two factors as most critical and expressly reaches opposite conclusions on success on the merits for the two issues, that factor is the one driving the different outcomes.","['Of these factors, the first two—the showing of success on the merits and irreparable injury—are “the most critical.”', 'The government is likely to prevail on plaintiffs’ challenge to the validity of Executive Order No. 14163’s suspension of refugee admissions', 'For reasons to be explained in full in an opinion to follow, however, the government is not likely to prevail on at least one of plaintiffs’ challenges under the APA.']"
United_States_v_Constantinescu,0,0,,legal,1,,1,,32B,1,0,probes/legal/United_States_v_Constantinescu/inference/probes_v12_mcqa.csv,"After taking the indictment’s allegations as true and finding an offense stated, what procedural step followed in the court of appeals?",reversal and remand,(E),remand for additional fact-finding,dismissal of the appeal,affirmance of the dismissal,vacatur of the indictment,reversal and remand,Multi-Fact Integration,"After taking the allegations as true and finding that they state an offense, the court logically reversed the dismissal and sent the case back.","['“[T]he court is required to take the allegations of the indictment as true and to determine whether an offense has been stated.”', 'Because the indictment sufficiently alleges a scheme and intent to defraud, we REVERSE the district court’s dismissal of the indictment and REMAND for proceedings consistent with this opinion.']"
United_States_v_Justin_Cutbank,0,1,,legal,1,,0,,32B,-1,-1,probes/legal/United_States_v_Justin_Cutbank/inference/probes_v12_mcqa.csv,"From the location of the rifle, the DNA match, and the witnesses’ identifications, what link between Cutbank and the recovered Marlin could the jury infer?",he possessed the rifle,(C),owned the recovered Marlin,carried D.F.’s cell phone away from the house,possessed the rifle,discarded the rifle along the route,used the butcher-style knife during the incident,Multi-Fact Integration,"The rifle was found along Cutbank’s likely route, bore his DNA, and matched the gun witnesses had previously seen him with, so the jury could connect him to the recovered weapon.","['Officers searching the path Cutbank likely would have taken between D.F.’s home and the garage found D.F.’s cell phone, a butcher-style knife, and a Marlin .22 caliber rifle with a sawed-off barrel and stock.', 'DNA on the gun matched Cutbank.', 'At trial, D.F. and C.F. identified the weapon as one they saw Cutbank with before that night.']"
Williams_v_GoAuto_Insurance,0,0,,legal,0,,1,,32B,1,1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Applying the panel’s definition of “receipt,” what did GoAuto have before its system canceled the policy when the email reached GoAuto’s web service?",receipt of notice of cancellation,(A),receipt of notice of cancellation,actual awareness by a GoAuto employee of the cancellation request,acceptance of the request for cancellation,physical possession of a signed paper notice of cancellation,delivery of the cancellation request during normal business hours,Multi-Fact Integration,"The court treated the email reaching GoAuto’s computer system as GoAuto’s taking possession, delivery, or custody of the request, which satisfies receipt before cancellation.","['A leading law dictionary defines “receipt” as ""[t]he act of receiving something, esp[ecially] by taking physical possession,"" and ""receive"" as ""[t]o take (something offered, given, sent, etc.); to come into possession of or get from some outside source.""', 'We accept these definitions and conclude that GoAuto may cancel a policy once it takes possession, delivery, or custody of a request for cancellation.', 'As we explained, once the e-mailed notice is received in early morning hours by GoAuto’s computer system, that computer system cancels the policy.']"
Williams_v_GoAuto_Insurance,3,0,,legal,0,,1,,32B,1,1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"When APAC's notice certified the required information but named no employee and bore no signature before automatic cancellation, what conclusion follows about the Plaintiffs’ signature-based objection?",no signature requirement,(D),signature required for compliance,automatic cancellation was ineffective,printed-name identification required,no signature requirement,Benitez mandated a signed notice,Multi-Fact Integration,"Because the statute does not mention signatures and the notices still certified the required information, the absence of a named signer does not defeat compliance.","['The statute makes no explicit reference to a signature.', 'As in Benitez, the notices in this record do not identify any particular employee by printed name or by signature. Unlike in Benitez, each notice “certifies” the relevant information.', 'We conclude that Louisiana law does not require a signature on the notice sent by the premium finance company to the insurer.']"
Williams_v_GoAuto_Insurance,8,0,,legal,1,,0,,32B,0,-1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Given the court’s stated reluctance to certify absent more than undefined state-law terms, what happened to the Plaintiffs’ certification request?",certification denied,(C),certification stayed while awaiting guidance from the state supreme court,certification deferred pending clarification of the undefined state-law terms,certification denied,certification granted,certification dismissed without prejudice to renew upon a more compelling showing,Multi-Fact Integration,"Because undefined state-law terms alone do not supply the compelling reason the court requires, the request for certification was rejected.","['“As a general proposition we are chary about certifying questions of law absent a compelling reason to do so; the availability of certification is such an important resource to this court that we will not risk its continued availability by going to that well too often.”', 'That a term has not yet been defined by a state supreme court “is not sufficient to warrant certification.”', 'We decline to certify the question.']"
Williams_v_GoAuto_Insurance,18,1,,legal,1,,0,,32B,-1,-1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,What event counted as GoAuto’s statutory receipt before any person handled the paper documents?,receipt by GoAuto’s computer system,(D),manual receipt by a GoAuto employee later that morning,the moment GoAuto’s computer system cancelled the policy,physical delivery of the paper cancellation request to GoAuto’s office,receipt by GoAuto’s computer system,opening and reviewing the e-mail during normal business hours,Multi-Fact Integration,"The court equated receipt with possession, delivery, or custody, and found that condition satisfied when GoAuto’s computer system received the e-mail before any human touched the documents.","['We accept these definitions and conclude that GoAuto may cancel a policy once it takes possession, delivery, or custody of a request for cancellation.', 'As we explained, once the e-mailed notice is received in early morning hours by GoAuto’s computer system, that computer system cancels the policy.', 'No person is involved until later in the morning after the GoAuto computer system effects cancellation.']"
Williams_v_GoAuto_Insurance,20,0,,legal,0,,1,,32B,1,1,probes/legal/Williams_v_GoAuto_Insurance/inference/probes_v12_mcqa.csv,"Once the appellate court agreed that GoAuto’s cancellation procedures complied with Louisiana law, what happened to the plaintiffs’ misrepresentation and good-faith theories against GoAuto?",dismissed with prejudice,(B),resolved in the plaintiffs’ favor on summary judgment,dismissed with prejudice,allowed to proceed to trial as independent misrepresentation and bad-faith claims,remanded for further proceedings,dismissed without prejudice,Multi-Fact Integration,"Because the claims were predicated on the alleged statutory noncompliance and the summary-judgment issue was solely compliance, the finding of compliance disposed of those claims.","['Former insureds claim that the insurance company’s cancellation procedures did not comply with the statute, resulting in misrepresentations and breach of good faith and fair dealing.', 'The parties filed motions for summary judgment related solely to whether GoAuto’s procedure for cancelling the financed insurance policies satisfied Louisiana law.', 'The district court granted GoAuto’s motion for summary judgment, holding that GoAuto’s procedures complied with state law. As a result, the district court dismissed all claims against GoAuto with prejudice.']"
1_58,0,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,"To avoid the sub-optimality associated with post-training quantization, what training setup does BitNet b1.58 use instead?",trained from scratch,(C),trained with 8-bit weights and 1.58-bit activations,quantized after pretraining using post-training quantization,trained from scratch,fine-tuned from a full-precision pretrained model,initialized from a pretrained BitNet checkpoint and then adapted,Multi-Fact Integration,"Because the paper calls post-training quantization sub-optimal and then describes BitNet b1.58 as trained from scratch, the alternative training setup is training from scratch.","['One approach to address these challenges is to use post-training quantization to create low-bit models for inference~\\cite{smoothquant, gptq, quip, quip_sharp}.', 'However, post-training quantization is sub-optimal, even though it is widely used in industry LLMs.', 'BitNet b1.58 is based on the BitNet architecture, which is a Transformer that replaces \\emph{nn.Linear} with \\emph{BitLinear}. It is trained from scratch, with 1.58-bit weights and 8-bit activations.']"
1_58,2,1,,arxiv,0,,0,,7B,-1,0,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,What bottleneck had to be relaxed for BitNet b1.58 70B to support much larger batch sizes and achieve higher throughput?,GPU memory limit,(A),GPU memory limit,GPU compute throughput ceiling,70B parameter-count limit,sequence length constraint,LLaMA's maximum batch-size setting,Multi-Fact Integration,"Since batch size was increased until memory ran out, supporting much larger batches means the limiting bottleneck was GPU memory.","['We increased the batch size until the GPU memory limit was reached, with a sequence length of 512.', 'Table~\\ref{tab:throughput} shows that BitNet b1.58 70B can support up to 11 times the batch size of LLaMA LLM, resulting an 8.9 times higher throughput.']"
1_58,8,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,"If BitNet b1.58 removed the extra ternary value 0 and kept only the original 1-bit choices, what added modeling capability would be lost?",feature filtering,(B),inference acceleration,feature filtering,memory compression,weight sparsification,gradient stability,Reasoning Step,"Because the paper says the extra value 0 enables explicit support for feature filtering, removing 0 would remove that capability.","['We have added an additional value of 0 to the original 1-bit BitNet, resulting in 1.58 bits in the binary system.', 'Firstly, its modeling capability is stronger due to its explicit support for feature filtering, made possible by the inclusion of 0 in the model weights']"
1_58,13,0,,arxiv,1,,0,,7B,0,-1,probes/arxiv/1_58/inference/probes_v12_mcqa.csv,"What kind of improvement is achieved when BitNet b1.58 3.9B is faster, uses less memory, and performs better than LLaMA LLM 3B?",Pareto improvement,(C),Pareto-optimal frontier,performance-efficiency tradeoff,Pareto improvement,memory-throughput optimization,quantization scaling advantage,Multi-Fact Integration,Being better on performance while also improving latency and memory is exactly the tradeoff the paper identifies as a Pareto improvement.,"['In particular, BitNet b1.58 with a 3.9B model size is 2.4 times faster, consumes 3.32 times less memory, but performs significantly better than LLaMA LLM 3B.', 'This demonstrates that BitNet b1.58 is a Pareto improvement over the state-of-the-art LLM models.']"
BOFT,7,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,What questionable assumption of block-diagonal OFT is avoided when BOFT uses a dense orthogonal transformation instead?,index-based groups,(B),fixed block-sparse updates,index-based groups,layerwise parameter sharing,low-rank update matrices,equal-sized dimension groups,Synthesized Insight,"Since block-diagonal OFT separates dimensions by fixed groups based on their positions, using a dense orthogonal matrix removes that index-based grouping assumption.","['the block-diagonal structure comes at a price -- it introduces an assumption that the dimensions of a neuron (\\emph{i.e.}, a column vector of the weight matrix $\\bm{W}^0$) are divided by $r$ groups and dimensions in different groups are transformed separately using different orthogonal matrices.', 'Despite the empirical effectiveness of the block-diagonal structure, it makes no sense to divide the dimensions of a neuron into $r$ groups based on their indices, which makes dense orthogonal matrices desirable.']"
BOFT,8,0,,arxiv,1,,1,,7B,1,0,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,Why is it enough to make only the 2b×2b blocks orthogonal when constructing larger block butterfly components?,block-wise permutations,(A),block-wise permutations,stage-wise normalization of the larger butterfly factors,Kronecker-style expansion of the base orthogonal blocks,the repeated non-zero pattern itself enforcing orthogonality,reusing the same orthogonal parameterization at every butterfly stage,Reasoning Step,"Because larger butterfly components only rearrange the same block pattern, making the base 2b×2b blocks orthogonal is enough to extend orthogonality to the larger components.","['""To guarantee the block butterfly component $\\tilde{\\bm{B}}^b(d,2)$ to be orthogonal, we parameterize each $2b\\times 2b$ block matrix to be orthogonal.""', '""The non-zero pattern of the other butterfly components $\\tilde{\\bm{B}}^b(d,k),k>2$ are the block-wise permutation of the non-zero pattern of $\\tilde{\\bm{B}}^b(d,2)$ and therefore can be similarly turned into orthogonal matrices.""']"
BOFT,10,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,"If you need a dense orthogonal finetuning matrix but want asymptotically fewer parameters than a full dense orthogonal matrix, what parameterization from the paper satisfies both goals?",butterfly factorization,(D),block-diagonal orthogonal factorization,full dense orthogonal matrix parameterization,low-rank adapter factorization,butterfly factorization,Householder reflection parameterization,Synthesized Insight,These facts together show that the butterfly construction achieves density while using asymptotically fewer parameters than a full dense orthogonal matrix.,"['""BOFT($\\log \\frac{2d}{b}$,$b$) uses the block butterfly matrix $\\bm{B}^{\\frac{b}{2}}(d)$ as $\\bm{R}$, and yields a dense orthogonal matrix $\\bm{R}$.""', '""If we use the butterfly matrix, i.e. $m=\\log d,b=2$, BOFT uses $\\mathcal{O}(d\\log d)$ parameters. In contrast, the original OFT with a full dense orthogonal matrix uses $\\mathcal{O}(d^2)$ parameters""']"
BOFT,12,0,,arxiv,1,,1,,7B,1,0,probes/arxiv/BOFT/inference/probes_v12_mcqa.csv,Why would expanding BOFT to represent the entire orthogonal group not necessarily give the best finetuning performance?,the expressivity-regularity trade-off,(D),the difficulty of enforcing exact orthogonality during training,the computational overhead of covering all orthogonal transformations,the universal expressiveness of full finetuning,the expressivity-regularity trade-off,the loss of BOFT's parameter-efficient factorized structure,Synthesized Insight,"Since the paper says more expressiveness alone can hurt finetuning and that generalization depends on balancing expressivity with regularity, full orthogonal expressiveness is not automatically best.","['""However, we note that better expressiveness does not always lead to better performance in finetuning, as full finetuning, despite its universal expressiveness, often yields unsatisfactory performance.""', '""The trade-off between expressivity and regularity is the key to the generalizability of model finetuning.""']"
ByteLatent,4,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"Within a word, which bytes should entropy-based patching tend to devote more compute to?",the first bytes,(A),the first bytes,the rarest byte values,the bytes immediately following spaces,the last bytes,the middle bytes,Reasoning Step,"Because compute is meant to be allocated to harder predictions and the paper says the first bytes in words are typically the hardest, entropy patching should focus more compute there.","['This ensures words are patched in the same way across sequences and that flops are allocated for hard predictions which often follow spaces.', ""For example, predicting the first byte of the answer to the question ``Who composed the Magic Flute?\\uline{\\hspace{.6em}}'' is much harder than predicting the remaining bytes after ``M''"", 'Next, we introduce a new patching method that uses the insight that the first bytes in words are typically most difficult to predict']"
ByteLatent,6,0,,arxiv,0,,1,,7B,1,1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"When BLT assigns longer patches to a predictable span, which component is invoked less often on that span?",the global latent transformer,(A),the global latent transformer,the token-level transformer,the entropy-based patching module,the local byte decoder,the byte embedding layer,Multi-Fact Integration,"If predictable regions get longer patches and the bulk of flops come from the model whose invocation is controlled by patching, that model must be run less often there.","['Both training and inference efficiency improve due to dynamically selecting long patches when data is predictable', 'This model consumes the bulk of the flops during pre-training as well as inference, and thus, choosing when to invoke it allows us to control and vary the amount of compute expended for different portions of the input and output as a function of input/output complexity.']"
ByteLatent,10,1,,arxiv,0,,1,,7B,0,1,probes/arxiv/ByteLatent/inference/probes_v12_mcqa.csv,"If a large-patch BLT kept cross-attention in only one place, where should it be kept to preserve the stronger reported benefit?",the decoder,(A),the decoder,the patch encoder,the input-side cross-attention block,the encoder,the latent transformer,Synthesized Insight,"If only one place can keep cross-attention and the goal is to retain the strongest observed benefit, it should be the decoder because that location was found most effective, including for larger patch sizes.","['We find that using cross-attention in the \\textit{decoder} is most effective.', 'Additionally, we find that cross-attention helps particularly on Common-Crawl and especially with larger patch sizes.']"
